License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
2104763,"GROCERY CHAIN, WINE PROD",128,AX,Albany,2,ONONDAGA,MIRABITO HOLDINGS INC,ONONDAGA HILL QUICKWAY 48,4464 WEST SENECA TURNPIKE,,SYRACUSE,NY,13215,861841,,11/1/2014,10/31/2017,42.9981513,-76.2032404,"(42.9981513, -76.2032404)"
2159199,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,ESSA A ALSOFARI,DIAMOND SUPERMARKET,1701 COURT STREET,,SYRACUSE,NY,13208,884184,9/8/2010,9/1/2016,8/31/2019,43.07940593,-76.14459795,"(43.07940593, -76.14459795)"
2160428,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,LACIS VENTURES LLC,LACIS TAPAS BAR,304 HAWLEY AVE,,SYRACUSE,NY,13203,860659,7/30/2010,7/1/2016,6/30/2018,43.05325356,-76.1419108,"(43.05325356, -76.1419108)"
2160801,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,CHIPOTLE MEXICAN GRILL,3496 ERIE BLVD EAST,KINNE RD & THOMPSON RD,SYRACUSE,NY,13214,866945,10/21/2010,10/1/2016,9/30/2018,43.04287486,-76.06804431,"(43.04287486, -76.06804431)"
2161058,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,SIX STRINGS INC,DR'S TAVERN,1417 WEST GENESEE STREET,,SYRACUSE,NY,13204,865623,10/8/2010,10/1/2016,9/30/2018,43.05219176,-76.18149989,"(43.05219176, -76.18149989)"
2161469,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,313 SAND STREET LLC,MR MIKES FOMOSO TAVERN,313 SAND STREET,,SYRACUSE,NY,13204,864700,8/9/2010,8/1/2016,7/31/2018,43.056311,-76.16769622,"(43.056311, -76.16769622)"
2162307,LIQUOR STORE,222,L,Albany,2,ONONDAGA,NCP LIQUORS INC,PASCALE'S LIQUOR SQUARE,3150 ERIE BOULEVARD EAST,,SYRACUSE,NY,13214,866334,10/12/2010,5/1/2015,4/30/2018,43.05495868,-76.07761038,"(43.05495868, -76.07761038)"
2162734,GROCERY STORE BEER,122,A,Albany,2,ONONDAGA,MANAL BADWAN,NUMBER 1 CONVENIENT,1000 BUTTERNUT ST,CARBON ST & PARK ST,SYRACUSE,NY,13208,885716,12/3/2010,12/1/2016,11/30/2019,43.06398161,-76.14327801,"(43.06398161, -76.14327801)"
2163276,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,DEAN P WHITTLES INC,DJS ON THE HILL,161 163 MARSHALL STREET,,SYRACUSE,NY,13210,841741,12/9/2010,12/1/2014,11/30/2016,43.04164974,-76.13526974,"(43.04164974, -76.13526974)"
2164232,GROCERY STORE BEER,122,A,Albany,2,ONONDAGA,SU CORNER MARKET INC,SU CORNER MARKET,701 SOUTH CROUSE AVE,,SYRACUSE,NY,13210,884599,12/29/2010,12/1/2016,11/30/2019,43.0426425,-76.13654798,"(43.0426425, -76.13654798)"
2164273,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,J N ARMORY VENTURES INC,BENJAMINS ON FRANKLIN,314 S FRANKLIN ST,,SYRACUSE,NY,13202,867309,12/28/2010,12/1/2016,11/30/2018,43.04858108,-76.15552555,"(43.04858108, -76.15552555)"
2164625,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,PRIME STEAKHOUSE AT THE GRIDLEY LLC,PRIME STEAKHOUSE,101 E WATER STREET,,SYRACUSE,NY,13202,846287,2/10/2011,2/1/2015,1/31/2017,43.05058195,-76.15191292,"(43.05058195, -76.15191292)"
2164707,HOTEL LIQUOR,242,HL,Albany,2,ONONDAGA,SKYLER MANAGEMENT COMPANY LLC,HOTEL SKYLER,601 SOUTH CROUSE AVE,,SYRACUSE,NY,13210,845228,5/18/2011,5/1/2015,4/30/2017,43.04415433,-76.13651419,"(43.04415433, -76.13651419)"
2166941,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,KOTO BISTRO INC,KOTO JAPANESE STEAKHOUSE,320 HIAWATHA BLVD WEST FC01,,SYRACUSE,NY,13290,849356,6/3/2011,6/1/2015,5/31/2017,43.0682352,-76.16955977,"(43.0682352, -76.16955977)"
2169614,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,BARAME LLC,THAI FLAVOR,2863 1/2 ERIE BLVD E,,SYRACUSE,NY,13224,828400,5/25/2011,5/1/2015,4/30/2017,43.0552372,-76.09208957,"(43.0552372, -76.09208957)"
2171196,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,801 WOLF STREET INC,THE EASY CAFE,801 WOLF ST,,SYRACUSE,NY,132081223,856205,12/8/2011,12/1/2015,11/30/2017,43.0769605,-76.16002114,"(43.0769605, -76.16002114)"
2171673,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,CHIPOTLE MEXICAN GRILL,129 MARSHALL ST,,SYRACUSE,NY,13210,852856,9/22/2011,9/1/2015,8/31/2017,43.04164876,-76.13598984,"(43.04164876, -76.13598984)"
2171834,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,WAFA N ASHKAR,GREEN ALE MARKET,2208 10 E FAYETTE ST,,SYRACUSE,NY,13224,861671,10/5/2011,10/1/2014,9/30/2017,43.04862894,-76.15214593,"(43.04862894, -76.15214593)"
2172649,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,CUSE EXPRESS INC,,1302 BURNET AVE,,SYRACUSE,NY,13206,829137,7/26/2011,7/1/2014,6/30/2017,43.05424323,-76.12178464,"(43.05424323, -76.12178464)"
2172872,LIQUOR STORE,222,L,Albany,2,ONONDAGA,GARY J DECKER,VINOMANIA,313 E WILLOW ST,,SYRACUSE,NY,13202,860251,8/26/2011,8/1/2014,7/31/2017,43.05234725,-76.15506797,"(43.05234725, -76.15506797)"
2172888,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,SOUTH VALLEY INC,SWALLOWS RESTAURANT,1914 SOUTH AVE,,SYRACUSE,NY,13207,846936,7/18/2011,7/1/2015,6/30/2017,43.01920287,-76.16078743,"(43.01920287, -76.16078743)"
2172915,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,T TAVERN INC,BEAR'S DEN,2710 JAMES ST,,SYRACUSE,NY,13206,852298,7/18/2011,2/2/2016,6/30/2017,43.06869186,-76.10832536,"(43.06869186, -76.10832536)"
2173096,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,TDL INC,THE GEM,832 SPENCER ST,,SYRACUSE,NY,13204,829863,12/6/2011,12/1/2015,11/30/2017,43.05732402,-76.17258957,"(43.05732402, -76.17258957)"
2173216,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,TERRY ROAD EXPRESS INC,,224 S TERRY RD,,SYRACUSE,NY,13219,860872,10/28/2011,10/1/2014,9/30/2017,43.04375536,-76.22044617,"(43.04375536, -76.22044617)"
2175286,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,MOONLIGHT DELI AND BEER INC,,2817 2829 JAMES ST,,SYRACUSE,NY,13206,860433,8/1/2011,8/1/2014,7/31/2017,43.06885581,-76.10715913,"(43.06885581, -76.10715913)"
2175559,GROCERY STORE BEER,122,A,Albany,2,ONONDAGA,SYRACUSE REAL FOOD COOPERATIVE INC,,618 KENSINGTON RD,,SYRACUSE,NY,13210,861113,9/13/2011,9/1/2014,8/31/2017,43.03189485,-76.11702831,"(43.03189485, -76.11702831)"
2175665,WHOLESALE WINE,303,WW,Albany,2,ONONDAGA,ENCORE WINE IMPORTS LLC,ENCORE WINE IMPORTS,202 WALTON ST STE 201,,SYRACUSE,NY,13202,875578,9/28/2011,3/1/2016,2/28/2019,43.04802005,-76.15566327,"(43.04802005, -76.15566327)"
2175877,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,IXTAPA ENTERPRISES INC,SALTINE WARRIOR,214 W WATER ST,,SYRACUSE,NY,13202,854640,11/4/2011,11/1/2015,10/31/2017,43.05061777,-76.15490541,"(43.05061777, -76.15490541)"
2176354,SUMMER RESTAURANT WINE,345,SW,Albany,2,ONONDAGA,BOSCOS AT THE FAIR INC,BOSCO'S AT THE FAIR,581 STATE FAIR BLVD #504/504A,,SYRACUSE,NY,13209,830353,5/23/2012,5/1/2016,10/31/2016,,,
2177147,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,"BLARNEY STONE INN LLC, THE",,314 AVERY AVE,,SYRACUSE,NY,13204,849823,8/24/2011,8/1/2015,7/31/2017,43.04766119,-76.19131439,"(43.04766119, -76.19131439)"
2177308,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,SMOKEYS TOBACCO & NEWS INC,CENTRAL VARIETY,321 S SALINA ST,,SYRACUSE,NY,13202,862416,12/13/2011,11/13/2014,10/31/2017,43.04831801,-76.15214445,"(43.04831801, -76.15214445)"
2178161,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,ABDUL H M ALHARBI,GEDDES PLAZA GROCERY,600 S GEDDES ST,,SYRACUSE,NY,13204,865530,3/1/2012,3/1/2015,2/28/2018,43.04191001,-76.17171803,"(43.04191001, -76.17171803)"
2178757,GROCERY STORE BEER,122,A,Albany,2,ONONDAGA,NAJI MAHMOUD,NA MARKET,943 MIDLAND AVE,,SYRACUSE,NY,13205,867307,5/11/2012,5/1/2015,4/30/2018,43.03002716,-76.15308394,"(43.03002716, -76.15308394)"
2179115,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,JUPP CORPORATION,,680 S SALINA ST,,SYRACUSE,NY,13205,862820,2/29/2012,2/1/2015,1/31/2018,43.04102499,-76.15090549,"(43.04102499, -76.15090549)"
2179391,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,CALCANOS TAVERN INC,,136 138 N GEDDES ST,,SYRACUSE,NY,13204,855730,1/30/2012,1/1/2016,12/31/2017,43.04948169,-76.1706518,"(43.04948169, -76.1706518)"
2179529,CLUB WINE,343,CW,Albany,2,ONONDAGA,CENTRAL NEW YORK JAZZ ARTS FOUNDATION INC,,441 43 E WASHINGTON ST,,SYRACUSE,NY,13202,885828,1/5/2012,1/1/2017,12/31/2018,43.04960465,-76.14594533,"(43.04960465, -76.14594533)"
2179582,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,DUKEN INC,RAIN LOUNGE,105 N GEDDES ST,,SYRACUSE,NY,13204,843163,11/22/2011,2/1/2015,1/31/2017,43.04916365,-76.17075218,"(43.04916365, -76.17075218)"
2180136,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,HANS MUSIC CITY INC,PALACE MUSIC STUDIO,2743 ERIE BLVD EAST,,SYRACUSE,NY,13224,856424,1/5/2012,1/1/2016,12/31/2017,43.05476567,-76.09591024,"(43.05476567, -76.09591024)"
2181907,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,GREYSTOKE INDUSTRIES LLC,PARADISE FOUND,134 HEADSON DR,,SYRACUSE,NY,13214,857323,3/26/2012,3/1/2016,2/28/2018,43.05500239,-76.08606022,"(43.05500239, -76.08606022)"
2182297,WHOLESALE BEER(C),103,C,Albany,2,ONONDAGA,BLEACHER CREATURES INC,PARTY SOURCE,2646 ERIE BLVD E,S MIDLER AVE & SEELEY RD,SYRACUSE,NY,13224,880339,8/31/2012,7/1/2016,6/30/2017,43.05407974,-76.09925949,"(43.05407974, -76.09925949)"
2182497,LIQUOR STORE,222,L,Albany,2,ONONDAGA,SYRACUSE LIQUOR INC,SYRACUSE LIQUOR,3020 ERIE BLV E,,SYRACUSE,NY,13224,857378,6/27/2012,6/1/2015,5/31/2018,43.05536388,-76.08573906,"(43.05536388, -76.08573906)"
2182815,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,3 PALS INC,THE MELTING POT RESTAURANT,1 CAROUSEL CENTER DR,,SYRACUSE,NY,13290,859413,6/26/2012,6/1/2016,5/31/2018,43.06692339,-76.17052855,"(43.06692339, -76.17052855)"
2182910,"DRUG CHAIN, WINE PROD",126,DX,Albany,2,ONONDAGA,WALGREEN EASTERN CO INC,WALGREENS #09414,5173 W TAFT,,SYRACUSE,NY,13212,875968,2/16/2012,2/1/2016,1/31/2019,43.12255722,-76.15425896,"(43.12255722, -76.15425896)"
2182991,LIQUOR STORE,222,L,Albany,2,ONONDAGA,LOCK ONE WINE AND SPIRITS INC,,7252 STATE FAIR BLVD,STORE #8 T/O VAN BUREN,SYRACUSE,NY,13209,879775,2/16/2012,6/1/2016,5/31/2019,43.12128094,-76.28661978,"(43.12128094, -76.28661978)"
2183521,GROCERY STORE BEER,122,A,Albany,2,ONONDAGA,SOLVAY FOOD MARKET INC,SOLVAY SUPER SAVER,1207 MILTON AVE,,SYRACUSE,NY,13204,863436,4/16/2012,4/1/2015,3/31/2018,43.0590366,-76.19750391,"(43.0590366, -76.19750391)"
2183641,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,BLEU MONKEY INC,THE BLEU MONKEY CAFE,163 MARSHALL ST,,SYRACUSE,NY,13210,828143,3/29/2012,3/19/2015,2/28/2017,43.04159485,-76.1352696,"(43.04159485, -76.1352696)"
2183688,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,DJ'S ON THE BLVD INC,,3010 ERIE BLVD EAST,,SYRACUSE,NY,13214,860464,6/1/2012,6/1/2016,5/31/2018,43.0553008,-76.08593851,"(43.0553008, -76.08593851)"
2183960,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,KAIED Y HINDI,COURT ST EXPRESS,539 COURT ST,,SYRACUSE,NY,13208,863196,3/19/2012,3/1/2015,2/28/2018,43.07009722,-76.15694289,"(43.07009722, -76.15694289)"
2184290,FARM WINERY,302,FW,Albany,2,ONONDAGA,LOA MAR GROUP LLC,MONTFREDY BROOK,3472 AMBER RD,,SYRACUSE,NY,13215,883868,9/20/2012,9/1/2016,8/31/2019,42.94422926,-76.27584993,"(42.94422926, -76.27584993)"
2184417,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,OVATIONS FOOD SERVICES LP AND COMMUNITY BASEBALL C,SYRACUSE CHIEFS,1 TEX SIMONE DR,ALLIANCE BANK STADIUM,SYRACUSE,NY,13208,844515,3/20/2013,3/1/2015,2/28/2017,43.07513377,-76.16327491,"(43.07513377, -76.16327491)"
2184494,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,WOLF'S DEN INC,,617 619 WOLF ST,,SYRACUSE,NY,13208,867749,11/19/2012,11/1/2016,10/31/2018,43.0747484,-76.16158516,"(43.0747484, -76.16158516)"
2184636,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,MARY JOYCE'S THATS MY BAR INC,CHAYSE'S LOUNGE,205 N WEST ST,,SYRACUSE,NY,13204,848386,2/14/2013,3/30/2015,1/31/2017,43.05124569,-76.15905469,"(43.05124569, -76.15905469)"
2184928,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,CANTINA LAREDO SYRACUSE LP,CANTINA LAREDO #134,306 HIAWATHA BLVD WEST,SPACE J102,SYRACUSE,NY,13204,860113,7/20/2012,7/1/2016,6/30/2018,43.06831784,-76.16939551,"(43.06831784, -76.16939551)"
2185498,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,FOOD CONSULTANTS INC,,4585 W SENECA TPKE,,SYRACUSE,NY,13215,859329,6/1/2012,6/1/2016,5/31/2018,43.00161332,-76.19456691,"(43.00161332, -76.19456691)"
2185636,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,SAU'S CAFE LLC,NAMU AND SAKANA YA SUSHI BAR,215 WALTON ST,STE 100,SYRACUSE,NY,13202,817233,11/14/2012,11/1/2015,10/31/2017,43.04798405,-76.15626626,"(43.04798405, -76.15626626)"
2185818,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,YOGI ENTERPRISES INC,TASTE OF INDIA,124 1/2 DELL ST,,SYRACUSE,NY,13210,829454,10/19/2012,10/1/2015,9/30/2017,43.04188234,-76.12040044,"(43.04188234, -76.12040044)"
2185946,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,STEPHEN C THEOBALD PRODUCTIONS INC,,727 729 S CROUSE AVE,,SYRACUSE,NY,13210,866101,9/27/2012,9/1/2016,8/31/2018,43.04235263,-76.13663005,"(43.04235263, -76.13663005)"
2185968,RESTAURANT BREWER,210,MR,Albany,2,ONONDAGA,BIG RIVER BREWERIES INC,GORDON BIERSCH BREWERY RESTAURANT,306 HIAWATHA BLVD WEST,SPACE J101,SYRACUSE,NY,13290,874090,1/14/2013,1/1/2016,12/31/2018,43.06756657,-76.16997498,"(43.06756657, -76.16997498)"
2186026,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,P F CHANGS CHINA BISTRO INC,P.F. CHANG'S CHINA BISTRO,306 HIAWATHA BLVD,SPACE H 111,SYRACUSE,NY,13204,867656,12/6/2012,10/12/2016,11/30/2018,43.06831784,-76.16939551,"(43.06831784, -76.16939551)"
2186219,LIQUOR STORE,222,L,Albany,2,ONONDAGA,POLGE WINE & LIQUORS INC,,434 W SENECA TPKE,,SYRACUSE,NY,13207,872700,10/15/2012,10/1/2015,9/30/2018,43.00214681,-76.1538382,"(43.00214681, -76.1538382)"
2186598,"GROCERY CHAIN, WINE PROD",128,AX,Albany,2,ONONDAGA,7 ELEVEN INC,7 ELEVEN STORE #35209,2450 JAMES ST,,SYRACUSE,NY,13206,873421,11/23/2012,11/1/2015,10/31/2018,43.06858298,-76.1118361,"(43.06858298, -76.1118361)"
2186640,"GROCERY CHAIN, WINE PROD",128,AX,Albany,2,ONONDAGA,7 ELEVEN INC,7 ELEVEN STORE #35211,1120 N SALINA ST,,SYRACUSE,NY,13208,873422,11/23/2012,11/1/2015,10/31/2018,43.06503728,-76.15687581,"(43.06503728, -76.15687581)"
2186643,"GROCERY CHAIN, WINE PROD",128,AX,Albany,2,ONONDAGA,7 ELEVEN INC,7 ELEVEN #35212,101 VALLEY DR,,SYRACUSE,NY,13207,873423,11/23/2012,11/1/2015,10/31/2018,43.0182553,-76.16114918,"(43.0182553, -76.16114918)"
2186811,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,SMG FOOD & BEVERAGE LLC,,800 S STATE ST,NICHOLAS J PIRRO CONV CENTER,SYRACUSE,NY,13202,867603,11/7/2012,11/1/2016,10/31/2018,43.04423953,-76.14752256,"(43.04423953, -76.14752256)"
2186827,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,SMG FOOD & BEVERAGE LLC,,515 MONTGOMERY ST,ONCENTER WAR MEMORIAL,SYRACUSE,NY,13202,867598,11/7/2012,11/1/2016,10/31/2018,43.04528017,-76.14882276,"(43.04528017, -76.14882276)"
2186864,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,SMG FOOD & BEVERAGE LLC,,421 MONTGOMERY ST,CIVIC CENTER THEATERS,SYRACUSE,NY,13202,867611,11/7/2012,11/1/2016,10/31/2018,43.04647994,-76.14880401,"(43.04647994, -76.14880401)"
2187122,"GROCERY CHAIN, WINE PROD",128,AX,Albany,2,ONONDAGA,SONBYRNE SALES INC,BYRNE DAIRY,3385 MILTON AVE,,SYRACUSE,NY,13219,857445,11/1/2012,7/1/2015,6/30/2018,43.05095523,-76.24093748,"(43.05095523, -76.24093748)"
2187156,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,FLAME 713 INC,FLAME,713 E FAYETTE ST,,SYRACUSE,NY,13210,848998,5/16/2013,5/1/2015,4/30/2017,43.04854015,-76.14183837,"(43.04854015, -76.14183837)"
2187354,"DRUG CHAIN, WINE PROD",126,DX,Albany,2,ONONDAGA,KPH HEALTHCARE SERVICES INC,KINNEY DRUGS #113,307 NOTTINGHAM RD,,SYRACUSE,NY,13210,873897,11/29/2012,1/1/2016,12/31/2018,43.0291566,-76.11156195,"(43.0291566, -76.11156195)"
2187812,TAVERN WINE,344,TW,Albany,2,ONONDAGA,BEER BELLY DELI LLC,BEER BELLY DELI & PUB,510 WESTCOTT ST,,SYRACUSE,NY,13210,875514,2/15/2013,2/1/2016,1/31/2018,43.04128997,-76.11932466,"(43.04128997, -76.11932466)"
2187826,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,BURNETT PARK NEWSTAND INC,,415 419 S WILBUR AVE,,SYRACUSE,NY,13204,875029,1/7/2013,1/1/2016,12/31/2018,43.04653833,-76.17803501,"(43.04653833, -76.17803501)"
2187932,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,OPTIGOLF SYRACUSE LLC,OPTIGOLF,306 HIAWATHA BLVD W,M 302,SYRACUSE,NY,13204,843837,2/25/2013,2/1/2015,1/31/2017,43.06831784,-76.16939551,"(43.06831784, -76.16939551)"
2187938,"GROCERY CHAIN, WINE PROD",128,AX,Albany,2,ONONDAGA,TOPS MARKETS LLC,TOPS MARKETS # 372,4141 S SALINA ST,,SYRACUSE,NY,13205,869970,12/14/2012,7/1/2015,6/30/2018,43.0084865,-76.14266102,"(43.0084865, -76.14266102)"
2188169,"GROCERY CHAIN, WINE PROD",128,AX,Albany,2,ONONDAGA,7 ELEVEN INC,7 ELEVEN STORE #35208,1718 GRANT BLV,,SYRACUSE,NY,13208,873425,1/30/2013,11/1/2015,10/31/2018,43.07226464,-76.1392732,"(43.07226464, -76.1392732)"
2188353,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,SYRACUSE FUNNY BONE LLC,FUNNY BONE COMEDY CLUB & RESTAURANT,306 HIAWATHA BLVD WEST,J 305,SYRACUSE,NY,13204,842829,1/7/2013,1/1/2015,12/31/2016,43.06831784,-76.16939551,"(43.06831784, -76.16939551)"
2188434,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,HAMED ZOKARI,FAMILY FOOD MARKET,814 BUTTERNUT ST,,SYRACUSE,NY,13208,876065,2/26/2013,2/1/2016,1/31/2019,43.06221548,-76.14449337,"(43.06221548, -76.14449337)"
2188558,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,MIAMI DELI OF SYRACUSE INC,,700 MIDLAND AVE,,SYRACUSE,NY,13205,875782,2/14/2013,2/1/2016,1/31/2019,43.03174188,-76.1539841,"(43.03174188, -76.1539841)"
2188654,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,WALID T QUDSI,CLUB MART,3056 BURNET AVE,#11,SYRACUSE,NY,13206,876270,4/10/2013,4/1/2016,3/31/2019,43.06061264,-76.09506821,"(43.06061264, -76.09506821)"
2188755,"GROCERY CHAIN, WINE PROD",128,AX,Albany,2,ONONDAGA,TOPS MARKETS LLC,TOPS MARKETS #373,700 FIRST NORTH ST,,SYRACUSE,NY,13208,869971,2/13/2013,7/1/2015,6/30/2018,43.06937859,-76.14899261,"(43.06937859, -76.14899261)"
2188842,HOTEL LIQUOR,242,HL,Albany,2,ONONDAGA,GENESEE INN RESTAURANT INC,PARKVIEW HOTEL,713 E GENESEE ST,FOREMAN & ALMOND STREETS,SYRACUSE,NY,13210,843401,2/19/2013,2/1/2015,1/31/2017,43.04738522,-76.14186133,"(43.04738522, -76.14186133)"
2188970,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,DAVE & BUSTER'S OF NEW YORK INC,DAVE & BUSTERS,306 HIAWATHA BLV,WEST SPACE J307,SYRACUSE,NY,13204,850844,8/15/2013,8/1/2015,7/31/2017,43.06831784,-76.16939551,"(43.06831784, -76.16939551)"
2189240,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,KEY CONVENIENT MART INC,KEY PIZZA,1135 ERIE BLVD EAST,,SYRACUSE,NY,13210,877656,4/1/2013,4/1/2016,3/31/2019,43.05065989,-76.13344708,"(43.05065989, -76.13344708)"
2189476,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,"EAST ROOM INC, THE",,2727 JAMES ST,,SYRACUSE,NY,13206,846650,6/18/2013,6/1/2015,5/31/2017,43.06875356,-76.10817757,"(43.06875356, -76.10817757)"
2189539,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,387 NORTH MIDLER AVE LLC,ALL IN SPORTS BAR & GRILL,387 N MIDLER AVE,,SYRACUSE,NY,13206,849298,5/1/2013,5/1/2015,4/30/2017,43.0761145,-76.10596501,"(43.0761145, -76.10596501)"
2189713,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,ASAHI JAPANESE RESTAURANT 508 INC,,508 WESTCOTT ST,,SYRACUSE,NY,13210,828154,4/16/2013,4/1/2015,3/31/2017,43.04132697,-76.11932803,"(43.04132697, -76.11932803)"
2190001,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,BARBECUE HOUSE SYRACUSE INC,,725 E FAYETTE ST,,SYRACUSE,NY,13210,846998,7/9/2013,7/1/2015,6/30/2017,43.04853636,-76.14158169,"(43.04853636, -76.14158169)"
2190053,"DRUG CHAIN, WINE PROD",126,DX,Albany,2,ONONDAGA,KPH HEALTHCARE SERVICES INC,KINNEY DRUGS INC #108,2912 JAMES ST,,SYRACUSE,NY,13206,873898,4/17/2013,1/1/2016,12/31/2018,43.06884786,-76.10623125,"(43.06884786, -76.10623125)"
2190256,LIQUOR STORE,222,L,Albany,2,ONONDAGA,LIQUOR WAREHOUSE LLC,,507 513 N SALINA ST N STATE ST,AKA 812-814 N STATE ST,SYRACUSE,NY,13208,880658,9/11/2013,9/1/2016,8/31/2019,43.05802251,-76.15203574,"(43.05802251, -76.15203574)"
2191572,GROCERY STORE BEER,122,A,Albany,2,ONONDAGA,AHMED M SHQAIR,ANDYS FOOD MARKET,139 N GEDDES ST,,SYRACUSE,NY,13204,880682,9/18/2013,9/1/2016,8/31/2019,43.04948918,-76.17072637,"(43.04948918, -76.17072637)"
2191665,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,FAST BREAK CONVENIENCE INC,,210 PARK ST,,SYRACUSE,NY,13203,883881,9/18/2013,9/1/2016,8/31/2019,43.06328178,-76.13510195,"(43.06328178, -76.13510195)"
2191753,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,TEXAS DE BRAZIL SYRACUSE CORPORATION,TEXAS DE BRAZIL,306 HIAWATHA BLVD,,SYRACUSE,NY,13204,850488,8/29/2013,8/1/2015,7/31/2017,43.06831784,-76.16939551,"(43.06831784, -76.16939551)"
2191826,LIQUOR STORE,222,L,Albany,2,ONONDAGA,ORANGE HILL LIQUOR CORP,,825 E GENESEE ST,,SYRACUSE,NY,13210,817232,6/9/2014,6/9/2014,5/31/2017,43.04704758,-76.13872089,"(43.04704758, -76.13872089)"
2191855,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,JAY MAHAKALI INC,DOWNTOWN GROCERY STORE,353 S WARREN ST,,SYRACUSE,NY,13202,881117,9/25/2013,9/1/2016,8/31/2019,43.04780075,-76.1507812,"(43.04780075, -76.1507812)"
2191950,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,"WAY IN MARKET, LLC",WAY IN MARKET,421 423 S GEDDES ST,,SYRACUSE,NY,13204,884960,10/17/2013,10/4/2016,9/30/2019,43.04791374,-76.17083451,"(43.04791374, -76.17083451)"
