FACILITY,ADDRESS,LAST INSPECTED,VIOLATIONS,TOTAL # CRITICAL VIOLATIONS,TOTAL #CRIT.  NOT CORRECTED ,TOTAL # NONCRITICAL VIOLATIONS,DESCRIPTION, LOCAL HEALTH DEPARTMENT,COUNTY,FACILITY ADDRESS,CITY,ZIP CODE,NYSDOH GAZETTEER (1980),MUNICIPALITY,OPERATION NAME,PERMIT EXPIRATION DATE,PERMITTED  (D/B/A),PERMITTED  CORP. NAME,PERM. OPERATOR LAST NAME,PERM. OPERATOR FIRST NAME,NYS HEALTH OPERATION ID,INSPECTION TYPE,INSPECTOR ID,INSPECTION COMMENTS,FOOD SERVICE FACILITY STATE,Location1
SMG @ Oncenter Convention Center    ,"800 SOUTH State STREET,  Syracuse",11/12/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,800 SOUTH State STREET,Syracuse,13202    ,330100,SYRACUSE,SMG @ Oncenter Convention Center,01/31/2017,,SMG,Harris,Jody,813142,Re-Inspection,,Reinspection this date for violations cited during the inspection on 10/21/15. All violations have been corrected at this time. Recommend abatement-satisfactory inspection.,NY,"(43.044222, -76.147596)"
Burger King Restaurant #273         ,"700 SOUTH Salina STREET,  Syracuse",11/18/2015,"Item  3C-  Critical Violation [RED] Food workers do not use proper utensils to eliminate bare hand contact with cooked or prepared foods.; Item  9B-   Tobacco is used; eating, drinking in food preparation, dishwashing food storage areas; Item  9C-   Hair is improperly restrained; Item 11D-   Non food contact surfaces of equipment not clean; ",1,0,3,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,700 SOUTH Salina STREET,Syracuse,13202    ,330100,SYRACUSE,Burger King Restaurant #273,01/31/2017,,Carrols LLC,Flanders,Paul,292658,Re-Inspection,,"today's reinspection notes the majority of previous violations have been corrected.  However, there are several new violations to note.",NY,"(43.040626, -76.150749)"
SU Goldstein Student Center Dining  ,"Skytop ROAD,  Syracuse",11/18/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8B-   In use food dispensing utensils improperly stored; Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; ",0,0,6,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA, Skytop ROAD,Syracuse,13244    ,330100,SYRACUSE,SU Goldstein Student Center Dining,01/31/2017,,Syracuse University,Gallipeau,Jean,293259,Inspection,,,NY,"(43.00882, -76.112557)"
"Food Consultants, Inc. at Crouse Hin","7th North Street and Wolf Street,  Syracuse",11/30/2015,"Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,8,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA, 7th North Street and Wolf Street  ,Syracuse,13208    ,330100,SYRACUSE,"Food Consultants, Inc. at Crouse Hinds",01/31/2017,,"Food Consultants, Inc.",Fiacco,Thomas,293491,Inspection,,,NY,"(43.085095, -76.160995)"
No. 1 Kitchen                       ,"317 Nottingham ROAD,  Syracuse",02/04/2016,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  9C-   Hair is improperly restrained; Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 11D-   Non food contact surfaces of equipment not clean; ",0,0,5,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,317 Nottingham ROAD,Syracuse,13210    ,335300,DEWITT,No. 1 Kitchen,01/31/2017,,No. 1 Kitchen of Upstate Inc.,Dong,Shou Zhou,726292,Inspection,,,NY,"(43.028949, -76.11146)"
Kelley's                            ,"5076 Velasko ROAD,  Syracuse",02/05/2016,"Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; Item  5B-  Critical Violation [RED] Potentially hazardous foods are not cooled by an approved method where the food temperature can be reduced from 120oF to 70oF or less within two hours and 70oF to 45oF within four hours.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  9B-   Tobacco is used; eating, drinking in food preparation, dishwashing food storage areas; Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11D-   Non food contact surfaces of equipment not clean; Item 13B-   Garbage storage areas not properly constructed or maintained, creating a nuisance; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded; ",3,0,11,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,5076 Velasko ROAD,Syracuse,13215    ,336100,ONONDAGA,Kelley's,01/31/2017,,"Velasko Concepts, Inc.",Kelley,Jonathan,292831,Inspection,,,NY,"(43.015699, -76.184342)"
Frazer Elementary School            ,"741 PARK AVENUE,  SYRACUSE",01/11/2016,No violations found.,0,0,0,Institutional Food Service - School K-12 Food Service,Onondaga County,ONONDAGA,741 PARK AVENUE,SYRACUSE,13204    ,330100,SYRACUSE,Frazer Elementary School,12/31/2016,,Syracuse City School District,Warner,Ken,467078,Inspection,,,NY,"(43.063246, -76.14517)"
Dunkin Donuts                       ,"3915 SOUTH Salina STREET,  Syracuse",01/26/2016,"Item  2C-  Critical Violation [RED] Cooked or prepared foods are subject to cross-contamination from raw foods.; Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; ",2,0,1,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,3915 SOUTH Salina STREET,Syracuse,13205    ,330100,SYRACUSE,Dunkin Donuts,01/31/2017,,"Alexa Donuts, LLC",Cafua,David,547548,Inspection,,,NY,"(43.010529, -76.142118)"
H.W. Smith Elementary School        ,"1130 SALT SPRINGS ROAD,  SYRACUSE",03/02/2016,No violations found.,0,0,0,Institutional Food Service - School K-12 Food Service,Onondaga County,ONONDAGA,1130 SALT SPRINGS ROAD,SYRACUSE,13224    ,330100,SYRACUSE,H.W. Smith Elementary School/Inactive,12/31/2016,,Syracuse City School District,Warner,Ken,466881,Inspection,,,NY,"(43.047568, -76.094858)"
SU Brockway Dining Center           ,"401 Van Buren STREET,  Syracuse",04/22/2016,"Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,3,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,401 Van Buren STREET,Syracuse,13244    ,330100,SYRACUSE,SU Brockway Dining Center,01/31/2017,,Syracuse University,Gallipeau,Jean,293010,Inspection,,,NY,"(43.03756, -76.14139)"
Crossroads                          ,"120 Gifford STREET,  Syracuse",09/08/2015,"Item 14A-   Insects, rodents present; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,2,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,120 Gifford STREET,Syracuse,13202    ,330100,SYRACUSE,Crossroads,01/31/2017,,Rescue Mission Alliance,Martin,Rae,293712,Inspection,,"Field visit conducted on this date in response to a fire call that was received by our office on September 8, 2015 around 12:00 AM.  Upon investigation a routine inspection was conducted and notes the above violations.  The fire was actually in the shelter area of the building which is attached to the above establishment but is a separate entity.  The fire was in a dryer vent and was isolated to that area.  Since the buildings are connected, the entire building was evacuated.  The kitchen, dining, and storage areas of the above establishment was not affected by the fire.  No further action.",NY,"(43.04368, -76.154324)"
Bosco's at the Fair                 ,"581 State Fair BOULEVARD,  Syracuse",09/03/2015,"Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; ",0,0,1,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,581 State Fair BOULEVARD,Syracuse,13209    ,335600,GEDDES,Bosco's at the Fair,01/31/2016,,"Bosco's at the Fair, Inc.",Bosco,Steven,550073,Inspection,,,NY,"(43.107883, -76.285355)"
Columbus Bakery                     ,"502 Pearl STREET,  Syracuse",03/07/2016,"Item  8B-   In use food dispensing utensils improperly stored; Item 11D-   Non food contact surfaces of equipment not clean; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,5,Food Service Establishment - Bakery,Onondaga County,ONONDAGA,502 Pearl STREET,Syracuse,13203    ,330100,SYRACUSE,Columbus Bakery,01/31/2017,,"Columbus Baking Co., Inc.",Retzos,James,293351,Inspection,,,NY,"(43.054872, -76.151222)"
New Long Cheng Take Out             ,"1001 SOUTH Salina STREET,  Syracuse",03/12/2015,"Item  5A-  Critical Violation [RED] Potentially hazardous foods are not kept at or below 45oF during cold holding, except smoked fish not kept at or below 38oF during cold holding.; Item  6A-  Critical Violation [RED] Potentially hazardous foods are not kept at or above 140oF during hot holding.; Item  8B-   In use food dispensing utensils improperly stored; Item  8F-   Improper thawing procedures used; Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",3,0,11,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,1001 SOUTH Salina STREET,Syracuse,13202    ,330100,SYRACUSE,New Long Cheng Take Out,01/31/2017,,New Long Cheng Inc.,Zhao,Cneng Yang,559568,Inspection,,,NY,"(43.037833, -76.149722)"
Boys & Girls Club                   ,"201 Hamilton STREET,  Syracuse",04/22/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,201 Hamilton STREET,Syracuse,13204    ,330100,SYRACUSE,Boys & Girls Club,01/31/2017,,Boys and Girls Club of Syracuse,Wilkins Dee,Tina,537770,Inspection,,,NY,"(43.05166, -76.1833)"
SU Carrier Dome Vending #153        ,"900 Irving AVENUE,  Syracuse",09/12/2015,"Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; ",0,0,1,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,900 Irving AVENUE,Syracuse,13244    ,330100,SYRACUSE,SU Carrier Dome Vending #153,01/31/2017,,Syracuse University,Gallipeau,Jean,293008,Inspection,,,NY,"(43.037568, -76.13832)"
Meals on Wheels                     ,"300  Burt STREET,  Syracuse",03/15/2016,"Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 14A-   Insects, rodents present; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,4,SOFA Food Service - SOFA Prep Site-State Office for the Aging,Onondaga County,ONONDAGA,300  Burt STREET,Syracuse,13202    ,330100,SYRACUSE,Meals On Wheels,01/31/2017,,Meals on Wheels of Syr NY Inc,,,436987,Inspection,,,NY,"(43.038169, -76.147263)"
Pacific Asian Restaurant            ,"2822 Lemoyne AVENUE,  Syracuse",05/27/2015,"Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; Item  5B-  Critical Violation [RED] Potentially hazardous foods are not cooled by an approved method where the food temperature can be reduced from 120oF to 70oF or less within two hours and 70oF to 45oF within four hours.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8B-   In use food dispensing utensils improperly stored; Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",3,0,4,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,2822 Lemoyne AVENUE,Syracuse,13211    ,336400,SALINA,Pacific Asian Restaurant,01/31/2017,,"Wen Duan Dong, Inc.",Duan Dong,Wen,683545,Inspection,,,NY,"(43.096224, -76.145198)"
Timber Tavern                       ,"7153 State Fair BOULEVARD,  Syracuse",10/07/2015,"Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,6,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,7153 State Fair BOULEVARD,Syracuse,13209    ,336800,VAN BUREN,Timber Tavern,01/31/2017,,Timber Tavern LLC,Dombroski,Jonah,807177,Inspection,,,NY,"(43.116476, -76.276089)"
SU Bird Library Cafe                ,"222 Waverly AVENUE,  Syracuse",03/28/2016,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 11D-   Non food contact surfaces of equipment not clean; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,3,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,222 Waverly AVENUE,Syracuse,13244    ,330100,SYRACUSE,SU Bird Library Cafe,01/31/2017,,Syracuse University,Gallipeau,Jean,592776,Inspection,,,NY,"(43.040445, -76.134059)"
Pie Shack                           ,"1210 Willis AVENUE,  Syracuse",05/18/2016,"Item  5C-  Critical Violation [RED] Potentially hazardous foods are not stored under refrigeration except during necessary preparation or approved precooling procedures (room temperature storage).; Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 12A-   Hot, cold running water not provided, pressure inadequate; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 13B-   Garbage storage areas not properly constructed or maintained, creating a nuisance; Item 14A-   Insects, rodents present; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",1,0,9,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,1210 Willis AVENUE,Syracuse,13204    ,330100,SYRACUSE,Pie Shack,01/31/2017,,,Bender,Casey,540506,Re-Inspection,,Reinspection found majority of violations remain.  Conducted one day early due to receiving and investigating food illness complaint.  Owner requests one additional week for corrections due to scheduling of exterminator and other contractors to make repairs.,NY,"(43.05901, -76.196779)"
Hughes Elementary School            ,"345 JAMESVILLE AVENUE,  SYRACUSE",07/21/2015,Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; ,0,0,1,SED Summer Feeding Prog. - SED Satellite Feeding Site,Onondaga County,ONONDAGA,345 JAMESVILLE AVENUE,SYRACUSE,13210    ,330100,SYRACUSE,Hughes Elementary School,07/31/2015,,Syracuse City School Distrist,Marchbanks,Annette,549886,Inspection,,,NY,"(43.022407, -76.133749)"
Jreck Sub Shop                      ,"1315 Lodi STREET,  Syracuse",04/13/2016,"Item  5B-  Critical Violation [RED] Potentially hazardous foods are not cooled by an approved method where the food temperature can be reduced from 120oF to 70oF or less within two hours and 70oF to 45oF within four hours.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 11D-   Non food contact surfaces of equipment not clean; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",1,0,4,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,1315 Lodi STREET,Syracuse,13203    ,330100,SYRACUSE,Jreck Sub Shop,01/31/2017,,"Syracuse Fast Food, Inc.",Warren,Lynn,293228,Inspection,,,NY,"(43.059123, -76.145692)"
Limerick Pub                        ,"134 Walton STREET,  Syracuse",04/14/2016,"Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs; ",0,0,3,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,134 Walton STREET,Syracuse,13202    ,330100,SYRACUSE,Limerick Pub,01/31/2017,,"Limerick Pub, Inc.",Carey,Philip,554911,Inspection,,,NY,"(43.048024, -76.154847)"
Syracuse Academy of Science         ,"1001 Park AVENUE,  Syracuse",04/19/2016,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,1001 Park AVENUE,Syracuse,13204    ,330100,SYRACUSE,Syracuse Academy of Science,08/31/2016,,"Aramark Educational Services, LLC",Herr,Michael,794128,Inspection,,,NY,"(43.052298, -76.179716)"
