facility,address,zip,date_of_inspection,nys_health_operation_id,inspection_type,food_service_type,food_service_description,lat,lng,num_critical,num_non_critical,num_critical_not_corrected,num_critical_previous,num_non_critical_previous,num_non_critical_not_corrected_previous
AFC Sushi @ LeMoyne College,"1419 Salt Springs ROAD,  Syracuse",13214,2014-10-30,814498,Inspection,Food Service Establishment,Food Service Establishment,43.04735,-76.088424,0,1,0,0,0,0
AFC Sushi @ LeMoyne College,"1419 Salt Springs ROAD,  Syracuse",13214,2015-11-09,814498,Inspection,Food Service Establishment,Food Service Establishment,43.04735,-76.088424,1,1,0,0,1,0
AMF Strike-N-Spare Lanes,"1777 Brewerton ROAD,  Syracuse",13211,2006-02-02,293859,Inspection,Food Service Establishment,Food Service Establishment,43.094001,-76.14727,2,26,0,NA,NA,NA
AMF Strike-N-Spare Lanes,"1777 Brewerton ROAD,  Syracuse",13211,2006-02-16,293859,Re-Inspection,Food Service Establishment,Food Service Establishment,43.094001,-76.14727,0,4,0,2,26,0
AMF Strike-N-Spare Lanes,"1777 Brewerton ROAD,  Syracuse",13211,2006-02-27,293859,Re-Inspection,Food Service Establishment,Food Service Establishment,43.094001,-76.14727,0,2,0,0,4,0
AMF Strike-N-Spare Lanes,"1777 Brewerton ROAD,  Syracuse",13211,2006-04-24,293859,Re-Inspection,Food Service Establishment,Food Service Establishment,43.094001,-76.14727,1,1,0,0,2,0
AMF Strike-N-Spare Lanes,"1777 Brewerton ROAD,  Syracuse",13211,2006-05-25,293859,Re-Inspection,Food Service Establishment,Food Service Establishment,43.094001,-76.14727,0,0,0,1,1,0
AMF Strike-N-Spare Lanes,"1777 Brewerton ROAD,  Syracuse",13211,2007-03-29,293859,Inspection,Food Service Establishment,Food Service Establishment,43.094001,-76.14727,2,15,0,0,0,0
AMF Strike-N-Spare Lanes,"1777 Brewerton ROAD,  Syracuse",13211,2008-03-24,293859,Inspection,Food Service Establishment,Food Service Establishment,43.094001,-76.14727,4,14,0,2,15,0
AMF Strike-N-Spare Lanes,"1777 Brewerton ROAD,  Syracuse",13211,2008-04-09,293859,Re-Inspection,Food Service Establishment,Food Service Establishment,43.094001,-76.14727,0,2,0,4,14,0
AMF Strike-N-Spare Lanes,"1777 Brewerton ROAD,  Syracuse",13211,2010-02-22,293859,Inspection,Food Service Establishment,Food Service Establishment,43.094001,-76.14727,2,8,0,0,2,0
AMF Strike-N-Spare Lanes,"1777 Brewerton ROAD,  Syracuse",13211,2010-03-04,293859,Re-Inspection,Food Service Establishment,Food Service Establishment,43.094001,-76.14727,1,3,0,2,8,0
AMF Strike-N-Spare Lanes,"1777 Brewerton ROAD,  Syracuse",13211,2010-12-01,293859,Inspection,Food Service Establishment,Food Service Establishment,43.094001,-76.14727,0,0,0,1,3,0
AMF Strike-N-Spare Lanes,"1777 Brewerton ROAD,  Syracuse",13211,2011-08-17,293859,Inspection,Food Service Establishment,Food Service Establishment,43.094001,-76.14727,2,0,0,0,0,0
AMF Strike-N-Spare Lanes,"1777 Brewerton ROAD,  Syracuse",13211,2012-01-20,293859,Inspection,Food Service Establishment,Food Service Establishment,43.094001,-76.14727,3,16,0,2,0,0
AMF Strike-N-Spare Lanes,"1777 Brewerton ROAD,  Syracuse",13211,2012-02-14,293859,Re-Inspection,Food Service Establishment,Food Service Establishment,43.094001,-76.14727,1,12,0,3,16,0
AMF Strike-N-Spare Lanes,"1777 Brewerton ROAD,  Syracuse",13211,2012-02-21,293859,Re-Inspection,Food Service Establishment,Food Service Establishment,43.094001,-76.14727,0,3,0,1,12,0
AMF Strike-N-Spare Lanes,"1777 Brewerton ROAD,  Syracuse",13211,2012-07-30,293859,Inspection,Food Service Establishment,Food Service Establishment,43.094001,-76.14727,2,1,1,0,3,0
AMF Strike-N-Spare Lanes,"1777 Brewerton ROAD,  Syracuse",13211,2012-08-16,293859,Re-Inspection,Food Service Establishment,Food Service Establishment,43.094001,-76.14727,0,0,0,2,1,1
AMF Strike-N-Spare Lanes,"1777 Brewerton ROAD,  Syracuse",13211,2013-03-14,293859,Inspection,Food Service Establishment,Food Service Establishment,43.094001,-76.14727,2,4,0,0,0,0
AMF Strike-N-Spare Lanes,"1777 Brewerton ROAD,  Syracuse",13211,2014-01-09,293859,Inspection,Food Service Establishment,Food Service Establishment,43.094001,-76.14727,2,1,0,2,4,0
AMF Strike-N-Spare Lanes,"1777 Brewerton ROAD,  Syracuse",13211,2015-03-04,293859,Inspection,Food Service Establishment,Food Service Establishment,43.094001,-76.14727,0,5,0,2,1,0
AMF Strike-N-Spare Lanes,"1777 Brewerton ROAD,  Syracuse",13211,2016-05-25,293859,Inspection,Food Service Establishment,Food Service Establishment,43.094001,-76.14727,0,1,0,0,5,0
Abbotts Frozen Custard,"4282 Fay ROAD,  Syracuse",13219,2006-06-27,535612,Inspection,Food Service Establishment,Ice Cream Store,43.027484,-76.217622,0,3,0,NA,NA,NA
Abbotts Frozen Custard,"4282 Fay ROAD,  Syracuse",13219,2007-06-22,535612,Inspection,Food Service Establishment,Ice Cream Store,43.027484,-76.217622,0,2,0,0,3,0
Abbotts Frozen Custard,"4282 Fay ROAD,  Syracuse",13219,2008-05-14,535612,Inspection,Food Service Establishment,Ice Cream Store,43.027484,-76.217622,0,2,0,0,2,0
Abbotts Frozen Custard,"4282 Fay ROAD,  Syracuse",13219,2009-08-06,535612,Inspection,Food Service Establishment,Ice Cream Store,43.027484,-76.217622,1,2,0,0,2,0
Abbotts Frozen Custard,"4282 Fay ROAD,  Syracuse",13219,2010-05-03,535612,Inspection,Food Service Establishment,Ice Cream Store,43.027484,-76.217622,0,1,0,1,2,0
Abbotts Frozen Custard,"4282 Fay ROAD,  Syracuse",13219,2011-05-16,535612,Inspection,Food Service Establishment,Ice Cream Store,43.027484,-76.217622,1,3,0,0,1,0
Abbotts Frozen Custard,"4282 Fay ROAD,  Syracuse",13219,2012-03-30,535612,Inspection,Food Service Establishment,Ice Cream Store,43.027484,-76.217622,0,1,0,1,3,0
Abbotts Frozen Custard,"4282 Fay ROAD,  Syracuse",13219,2013-04-09,535612,Inspection,Food Service Establishment,Ice Cream Store,43.027484,-76.217622,0,2,0,0,1,0
Abbotts Frozen Custard,"4282 Fay ROAD,  Syracuse",13219,2014-04-16,535612,Inspection,Food Service Establishment,Ice Cream Store,43.027484,-76.217622,0,3,0,0,2,0
Abbotts Frozen Custard,"4282 Fay ROAD,  Syracuse",13219,2015-04-08,535612,Inspection,Food Service Establishment,Ice Cream Store,43.027484,-76.217622,0,0,0,0,3,0
Abbotts Frozen Custard,"4282 Fay ROAD,  Syracuse",13219,2016-07-21,535612,Inspection,Food Service Establishment,Ice Cream Store,43.027484,-76.217622,0,6,0,0,0,0
Abdullah Muslim Islamic Center,"127 WEST Brighton AVENUE,  Syracuse",13205,2009-11-20,718444,Inspection,Food Service Establishment,Food Service Establishment,43.020464,-76.144507,0,0,0,NA,NA,NA
Abdullah Muslim Islamic Center,"127 WEST Brighton AVENUE,  Syracuse",13205,2010-11-19,718444,Inspection,Food Service Establishment,Food Service Establishment,43.020464,-76.144507,2,1,0,0,0,0
Abdullah Muslim Islamic Center,"127 WEST Brighton AVENUE,  Syracuse",13205,2011-11-18,718444,Inspection,Food Service Establishment,Food Service Establishment,43.020464,-76.144507,0,0,0,2,1,0
Abdullah Muslim Islamic Center,"127 WEST Brighton AVENUE,  Syracuse",13205,2012-09-14,718444,Inspection,Food Service Establishment,Food Service Establishment,43.020464,-76.144507,0,4,0,0,0,0
Abdullah Muslim Islamic Center,"127 WEST Brighton AVENUE,  Syracuse",13205,2013-10-01,718444,Inspection,Food Service Establishment,Food Service Establishment,43.020464,-76.144507,0,0,0,0,4,0
Abdullah Muslim Islamic Center,"127 WEST Brighton AVENUE,  Syracuse",13205,2014-10-27,718444,Inspection,Food Service Establishment,Food Service Establishment,43.020464,-76.144507,1,0,0,0,0,0
Abdullah Muslim Islamic Center,"127 WEST Brighton AVENUE,  Syracuse",13205,2016-09-20,718444,Inspection,Food Service Establishment,Food Service Establishment,43.020464,-76.144507,0,0,0,1,0,0
Acropolis Pizza,"167-169 Marshall STREET,  Syracuse",13210,2006-02-22,292623,Inspection,Food Service Establishment,Restaurant,43.041645,-76.13517,0,3,0,NA,NA,NA
Acropolis Pizza,"167-169 Marshall STREET,  Syracuse",13210,2007-01-04,292623,Inspection,Food Service Establishment,Restaurant,43.041645,-76.13517,0,5,0,0,3,0
Acropolis Pizza,"167-169 Marshall STREET,  Syracuse",13210,2008-01-08,292623,Inspection,Food Service Establishment,Restaurant,43.041645,-76.13517,0,6,0,0,5,0
Acropolis Pizza,"167-169 Marshall STREET,  Syracuse",13210,2008-01-23,292623,Re-Inspection,Food Service Establishment,Restaurant,43.041645,-76.13517,0,0,0,0,6,0
Acropolis Pizza,"167-169 Marshall STREET,  Syracuse",13210,2009-03-13,292623,Inspection,Food Service Establishment,Restaurant,43.041645,-76.13517,1,17,0,0,0,0
Acropolis Pizza,"167-169 Marshall STREET,  Syracuse",13210,2009-04-06,292623,Re-Inspection,Food Service Establishment,Restaurant,43.041645,-76.13517,2,4,0,1,17,0
Acropolis Pizza,"167-169 Marshall STREET,  Syracuse",13210,2009-04-23,292623,Re-Inspection,Food Service Establishment,Restaurant,43.041645,-76.13517,0,1,0,2,4,0
Acropolis Pizza,"167-169 Marshall STREET,  Syracuse",13210,2010-03-08,292623,Inspection,Food Service Establishment,Restaurant,43.041645,-76.13517,1,14,0,0,1,0
Acropolis Pizza,"167-169 Marshall STREET,  Syracuse",13210,2011-03-10,292623,Inspection,Food Service Establishment,Restaurant,43.041645,-76.13517,2,23,0,1,14,0
Acropolis Pizza,"167-169 Marshall STREET,  Syracuse",13210,2011-04-06,292623,Re-Inspection,Food Service Establishment,Restaurant,43.041645,-76.13517,0,5,0,2,23,0
Acropolis Pizza,"167-169 Marshall STREET,  Syracuse",13210,2012-02-14,292623,Inspection,Food Service Establishment,Restaurant,43.041645,-76.13517,2,19,0,0,5,0
Acropolis Pizza,"167-169 Marshall STREET,  Syracuse",13210,2012-08-14,292623,Inspection,Food Service Establishment,Restaurant,43.041645,-76.13517,0,20,0,2,19,0
Acropolis Pizza,"167-169 Marshall STREET,  Syracuse",13210,2012-09-12,292623,Re-Inspection,Food Service Establishment,Restaurant,43.041645,-76.13517,0,7,0,0,20,0
Acropolis Pizza,"167-169 Marshall STREET,  Syracuse",13210,2013-08-20,292623,Inspection,Food Service Establishment,Restaurant,43.041645,-76.13517,0,17,0,0,7,0
Acropolis Pizza,"167-169 Marshall STREET,  Syracuse",13210,2013-09-10,292623,Re-Inspection,Food Service Establishment,Restaurant,43.041645,-76.13517,0,6,0,0,17,0
Acropolis Pizza,"167-169 Marshall STREET,  Syracuse",13210,2014-04-01,292623,Inspection,Food Service Establishment,Restaurant,43.041645,-76.13517,2,20,0,0,6,0
Acropolis Pizza,"167-169 Marshall STREET,  Syracuse",13210,2014-09-30,292623,Re-Inspection,Food Service Establishment,Restaurant,43.041645,-76.13517,0,0,0,2,20,0
Acropolis Pizza,"167-169 Marshall STREET,  Syracuse",13210,2015-04-22,292623,Inspection,Food Service Establishment,Restaurant,43.041645,-76.13517,2,9,0,0,0,0
Acropolis Pizza,"167-169 Marshall STREET,  Syracuse",13210,2015-05-20,292623,Re-Inspection,Food Service Establishment,Restaurant,43.041645,-76.13517,0,4,0,2,9,0
Acropolis Pizza,"167-169 Marshall STREET,  Syracuse",13210,2016-04-05,292623,Inspection,Food Service Establishment,Restaurant,43.041645,-76.13517,1,11,0,0,4,0
Al's Wine & Whiskey Lounge,"321 SOUTH Clinton STREET,  Syracuse",13202,2006-11-17,556889,Inspection,Food Service Establishment,Restaurant,43.0485,-76.153485,0,7,0,NA,NA,NA
Al's Wine & Whiskey Lounge,"321 SOUTH Clinton STREET,  Syracuse",13202,2007-07-17,556889,Inspection,Food Service Establishment,Restaurant,43.0485,-76.153485,1,3,0,0,7,0
Al's Wine & Whiskey Lounge,"321 SOUTH Clinton STREET,  Syracuse",13202,2008-08-05,556889,Inspection,Food Service Establishment,Restaurant,43.0485,-76.153485,1,3,0,1,3,0
Al's Wine & Whiskey Lounge,"321 SOUTH Clinton STREET,  Syracuse",13202,2009-07-09,556889,Inspection,Food Service Establishment,Restaurant,43.0485,-76.153485,2,13,0,1,3,0
Al's Wine & Whiskey Lounge,"321 SOUTH Clinton STREET,  Syracuse",13202,2009-07-29,556889,Re-Inspection,Food Service Establishment,Restaurant,43.0485,-76.153485,0,6,0,2,13,0
Al's Wine & Whiskey Lounge,"321 SOUTH Clinton STREET,  Syracuse",13202,2009-09-23,556889,Re-Inspection,Food Service Establishment,Restaurant,43.0485,-76.153485,0,1,0,0,6,0
Al's Wine & Whiskey Lounge,"321 SOUTH Clinton STREET,  Syracuse",13202,2010-08-11,556889,Inspection,Food Service Establishment,Restaurant,43.0485,-76.153485,1,9,0,0,1,0
Al's Wine & Whiskey Lounge,"321 SOUTH Clinton STREET,  Syracuse",13202,2011-06-17,556889,Inspection,Food Service Establishment,Restaurant,43.0485,-76.153485,2,1,0,1,9,0
Al's Wine & Whiskey Lounge,"321 SOUTH Clinton STREET,  Syracuse",13202,2012-06-15,556889,Inspection,Food Service Establishment,Restaurant,43.0485,-76.153485,1,4,0,2,1,0
Al's Wine & Whiskey Lounge,"321 SOUTH Clinton STREET,  Syracuse",13202,2013-04-05,556889,Inspection,Food Service Establishment,Restaurant,43.0485,-76.153485,1,3,0,1,4,0
Al's Wine & Whiskey Lounge,"321 SOUTH Clinton STREET,  Syracuse",13202,2014-10-14,556889,Inspection,Food Service Establishment,Restaurant,43.0485,-76.153485,1,10,0,1,3,0
Al's Wine & Whiskey Lounge,"321 SOUTH Clinton STREET,  Syracuse",13202,2015-11-19,556889,Inspection,Food Service Establishment,Restaurant,43.0485,-76.153485,0,2,0,1,10,0
Ale N'Angus Pub,"238 Harrison STREET,  Syracuse",13202,2006-06-16,547688,Inspection,Food Service Establishment,Restaurant,43.044229,-76.149754,0,5,0,NA,NA,NA
Ale N'Angus Pub,"238 Harrison STREET,  Syracuse",13202,2007-01-23,547688,Inspection,Food Service Establishment,Restaurant,43.044229,-76.149754,0,1,0,0,5,0
Ale N'Angus Pub,"238 Harrison STREET,  Syracuse",13202,2008-01-23,547688,Inspection,Food Service Establishment,Restaurant,43.044229,-76.149754,1,3,0,0,1,0
Ale N'Angus Pub,"238 Harrison STREET,  Syracuse",13202,2009-04-30,547688,Inspection,Food Service Establishment,Restaurant,43.044229,-76.149754,0,7,0,1,3,0
Ale N'Angus Pub,"238 Harrison STREET,  Syracuse",13202,2010-07-20,547688,Inspection,Food Service Establishment,Restaurant,43.044229,-76.149754,1,3,0,0,7,0
Ale N'Angus Pub,"238 Harrison STREET,  Syracuse",13202,2011-10-24,547688,Inspection,Food Service Establishment,Restaurant,43.044229,-76.149754,2,1,0,1,3,0
Ale N'Angus Pub,"238 Harrison STREET,  Syracuse",13202,2012-08-02,547688,Inspection,Food Service Establishment,Restaurant,43.044229,-76.149754,1,4,0,2,1,0
Ale N'Angus Pub,"238 Harrison STREET,  Syracuse",13202,2013-06-28,547688,Inspection,Food Service Establishment,Restaurant,43.044229,-76.149754,2,4,0,1,4,0
Ale N'Angus Pub,"238 Harrison STREET,  Syracuse",13202,2014-08-27,547688,Inspection,Food Service Establishment,Restaurant,43.044229,-76.149754,0,2,0,2,4,0
Ale N'Angus Pub,"238 Harrison STREET,  Syracuse",13202,2015-11-02,547688,Inspection,Food Service Establishment,Restaurant,43.044229,-76.149754,2,2,0,0,2,0
Alibrandi Room @ St. Thomas More Fou,"110 Walnut PLACE,  Syracuse",13210,2014-04-22,868577,Inspection,Food Service Establishment,Food Service Establishment,NA,NA,0,2,0,NA,NA,NA
Alibrandi Room @ St. Thomas More Fou,"110 Walnut PLACE,  Syracuse",13210,2015-05-14,868577,Inspection,Food Service Establishment,Food Service Establishment,NA,NA,0,3,0,0,2,0
Alibrandi Room @ St. Thomas More Fou,"110 Walnut PLACE,  Syracuse",13210,2016-06-13,868577,Inspection,Food Service Establishment,Food Service Establishment,NA,NA,0,2,0,0,3,0
All In Sports Bar and Grill,"387 NORTH Midler AVENUE,  Syracuse",13206,2013-02-20,828998,Inspection,Food Service Establishment,Restaurant,NA,NA,0,2,0,NA,NA,NA
All In Sports Bar and Grill,"387 NORTH Midler AVENUE,  Syracuse",13206,2013-10-03,828998,Inspection,Food Service Establishment,Restaurant,NA,NA,2,4,0,0,2,0
All In Sports Bar and Grill,"387 NORTH Midler AVENUE,  Syracuse",13206,2014-04-24,828998,Inspection,Food Service Establishment,Restaurant,NA,NA,1,9,0,2,4,0
All In Sports Bar and Grill,"387 NORTH Midler AVENUE,  Syracuse",13206,2014-05-23,828998,Re-Inspection,Food Service Establishment,Restaurant,NA,NA,0,4,0,1,9,0
All In Sports Bar and Grill,"387 NORTH Midler AVENUE,  Syracuse",13206,2015-04-30,828998,Inspection,Food Service Establishment,Restaurant,NA,NA,0,8,0,0,4,0
All In Sports Bar and Grill,"387 NORTH Midler AVENUE,  Syracuse",13206,2016-04-11,828998,Inspection,Food Service Establishment,Restaurant,NA,NA,0,6,0,0,8,0
All Saints Church,"112 Lancaster PLACE,  Syracuse",13210,2012-05-04,800972,Inspection,Food Service Establishment,Food Service Establishment,43.027466,-76.122266,0,0,0,NA,NA,NA
All Saints Church,"112 Lancaster PLACE,  Syracuse",13210,2013-10-28,800972,Inspection,Food Service Establishment,Food Service Establishment,43.027466,-76.122266,0,0,0,0,0,0
All Saints Church,"112 Lancaster PLACE,  Syracuse",13210,2014-10-03,800972,Inspection,Food Service Establishment,Food Service Establishment,43.027466,-76.122266,0,0,0,0,0,0
All Saints Church,"112 Lancaster PLACE,  Syracuse",13210,2015-10-19,800972,Inspection,Food Service Establishment,Food Service Establishment,43.027466,-76.122266,1,0,0,0,0,0
All Saints Elementary School of Tipp,"112 SOUTH WILBUR STREET,  SYRACUSE",13204,2007-09-17,588718,Inspection,Institutional Food Service,School K-12 Food Service,43.048431,-76.179982,0,3,0,NA,NA,NA
All Saints Elementary School of Tipp,"112 SOUTH WILBUR STREET,  SYRACUSE",13204,2007-12-14,588718,Inspection,Institutional Food Service,School K-12 Food Service,43.048431,-76.179982,0,1,0,0,3,0
All Saints Elementary School of Tipp,"112 SOUTH WILBUR STREET,  SYRACUSE",13204,2008-04-08,588718,Inspection,Institutional Food Service,School K-12 Food Service,43.048431,-76.179982,0,1,0,0,1,0
All Saints Elementary School of Tipp,"112 SOUTH WILBUR STREET,  SYRACUSE",13204,2008-10-24,588718,Inspection,Institutional Food Service,School K-12 Food Service,43.048431,-76.179982,0,1,0,0,1,0
All Saints Elementary School of Tipp,"112 SOUTH WILBUR STREET,  SYRACUSE",13204,2008-12-15,588718,Inspection,Institutional Food Service,School K-12 Food Service,43.048431,-76.179982,0,2,0,0,1,0
All Saints Elementary School of Tipp,"112 SOUTH WILBUR STREET,  SYRACUSE",13204,2009-05-06,588718,Inspection,Institutional Food Service,School K-12 Food Service,43.048431,-76.179982,0,2,0,0,2,0
All Saints Elementary School of Tipp,"112 SOUTH WILBUR STREET,  SYRACUSE",13204,2010-03-23,588718,Inspection,Institutional Food Service,School K-12 Food Service,43.048431,-76.179982,0,2,0,0,2,0
All Saints Elementary School of Tipp,"112 SOUTH WILBUR STREET,  SYRACUSE",13204,2010-12-09,588718,Inspection,Institutional Food Service,School K-12 Food Service,43.048431,-76.179982,0,1,0,0,2,0
All Saints Elementary School of Tipp,"112 SOUTH WILBUR STREET,  SYRACUSE",13204,2011-03-23,588718,Inspection,Institutional Food Service,School K-12 Food Service,43.048431,-76.179982,0,0,0,0,1,0
All Saints Elementary School of Tipp,"112 SOUTH WILBUR STREET,  SYRACUSE",13204,2011-12-07,588718,Inspection,Institutional Food Service,School K-12 Food Service,43.048431,-76.179982,0,0,0,0,0,0
All Saints Elementary School of Tipp,"112 SOUTH WILBUR STREET,  SYRACUSE",13204,2012-05-10,588718,Inspection,Institutional Food Service,School K-12 Food Service,43.048431,-76.179982,0,0,0,0,0,0
All Saints Elementary School of Tipp,"112 SOUTH WILBUR STREET,  SYRACUSE",13204,2013-04-30,588718,Inspection,Institutional Food Service,School K-12 Food Service,43.048431,-76.179982,0,2,0,0,0,0
All Saints Elementary School of Tipp,"112 SOUTH WILBUR STREET,  SYRACUSE",13204,2013-12-10,588718,Inspection,Institutional Food Service,School K-12 Food Service,43.048431,-76.179982,1,2,0,0,2,0
All Saints Elementary School of Tipp,"112 SOUTH WILBUR STREET,  SYRACUSE",13204,2014-01-29,588718,Inspection,Institutional Food Service,School K-12 Food Service,43.048431,-76.179982,0,0,0,1,2,0
All Saints Elementary School of Tipp,"112 SOUTH WILBUR STREET,  SYRACUSE",13204,2014-11-04,588718,Inspection,Institutional Food Service,School K-12 Food Service,43.048431,-76.179982,0,3,0,0,0,0
All Saints Elementary School of Tipp,"112 SOUTH WILBUR STREET,  SYRACUSE",13204,2015-04-15,588718,Inspection,Institutional Food Service,School K-12 Food Service,43.048431,-76.179982,0,1,0,0,3,0
All Saints Elementary School of Tipp,"112 SOUTH WILBUR STREET,  SYRACUSE",13204,2015-12-03,588718,Inspection,Institutional Food Service,School K-12 Food Service,43.048431,-76.179982,1,1,0,0,1,0
All Saints Elementary School of Tipp,"112 SOUTH WILBUR STREET,  SYRACUSE",13204,2015-12-21,588718,Re-Inspection,Institutional Food Service,School K-12 Food Service,43.048431,-76.179982,0,0,0,1,1,0
All Saints Elementary School of Tipp,"112 SOUTH WILBUR STREET,  SYRACUSE",13204,2016-06-07,588718,Inspection,Institutional Food Service,School K-12 Food Service,43.048431,-76.179982,0,2,0,0,0,0
All Saints Parish - Bishop Harrison,"1342 Lancaster AVENUE,  Syracuse",13210,2015-02-11,889716,Inspection,Food Service Establishment,Food Service Establishment,NA,NA,0,0,0,NA,NA,NA
All Saints Parish - Bishop Harrison,"1342 Lancaster AVENUE,  Syracuse",13210,2016-06-13,889716,Inspection,Food Service Establishment,Food Service Establishment,NA,NA,0,0,0,0,0,0
Almus Oliver Tower,"300 Burt STREET,  Syracuse",13202,2007-05-09,564663,Inspection,Food Service Establishment,Food Service Establishment,43.038169,-76.147263,0,2,0,NA,NA,NA
Almus Oliver Tower,"300 Burt STREET,  Syracuse",13202,2008-03-31,564663,Inspection,Food Service Establishment,Food Service Establishment,43.038169,-76.147263,2,1,0,0,2,0
Almus Oliver Tower,"300 Burt STREET,  Syracuse",13202,2008-05-16,564663,Re-Inspection,Food Service Establishment,Food Service Establishment,43.038169,-76.147263,0,0,0,2,1,0
Almus Oliver Tower,"300 Burt STREET,  Syracuse",13202,2009-10-19,564663,Inspection,Food Service Establishment,Food Service Establishment,43.038169,-76.147263,0,1,0,0,0,0
Almus Oliver Tower,"300 Burt STREET,  Syracuse",13202,2010-10-28,564663,Inspection,Food Service Establishment,Food Service Establishment,43.038169,-76.147263,0,1,0,0,1,0
Almus Oliver Tower,"300 Burt STREET,  Syracuse",13202,2011-09-27,564663,Inspection,Food Service Establishment,Food Service Establishment,43.038169,-76.147263,0,1,0,0,1,0
Almus Oliver Tower,"300 Burt STREET,  Syracuse",13202,2012-08-13,564663,Inspection,Food Service Establishment,Food Service Establishment,43.038169,-76.147263,1,1,0,0,1,0
Almus Oliver Tower,"300 Burt STREET,  Syracuse",13202,2013-06-17,564663,Inspection,Food Service Establishment,Food Service Establishment,43.038169,-76.147263,0,2,0,1,1,0
Almus Oliver Tower,"300 Burt STREET,  Syracuse",13202,2014-09-23,564663,Inspection,Food Service Establishment,Food Service Establishment,43.038169,-76.147263,0,1,0,0,2,0
Almus Oliver Tower,"300 Burt STREET,  Syracuse",13202,2015-03-19,564663,Inspection,Food Service Establishment,Food Service Establishment,43.038169,-76.147263,1,1,0,0,1,0
Almus Oliver Tower,"300 Burt STREET,  Syracuse",13202,2015-03-19,564663,Re-Inspection,Food Service Establishment,Food Service Establishment,43.038169,-76.147263,0,0,0,1,1,0
Almus Oliver Tower,"300 Burt STREET,  Syracuse",13202,2016-03-15,564663,Inspection,Food Service Establishment,Food Service Establishment,43.038169,-76.147263,0,2,0,0,0,0
