"","name","is_closed","rating","review_count","location.address1","location.zip_code","coordinates.latitude","coordinates.longitude","price","phone"
"59","San Jose Mexican Restaurant",FALSE,3.5,114,"5811 Poyner Village Pkwy","27616",35.8638194203377,-78.5702316462994,"$$","+19197901919"
"60","Gatehouse Tavern",FALSE,3,70,"960 Gateway Commons Cir","27587",35.9686356,-78.4934311,"$$","+19195696745"
"61","The Remedy Diner",FALSE,4,349,"137 E Hargett St","27601",35.7783224,-78.6370674,"$$","+19198353553"
"62","The Fiction Kitchen",FALSE,4.5,337,"428 S Dawson St","27601",35.7745972,-78.6438293,"$$","+19198314177"
"63","Sosta Café",FALSE,4.5,121,"130 E Davie St","27601",35.775453363187,-78.637626025473,"$","+19198331006"
"64","Raleigh Times Bar",FALSE,4,482,"14 E Hargett St","27601",35.7781388809935,-78.6386299171509,"$$","+19198330999"
"65","Beasley's Chicken & Honey",FALSE,4,933,"237 S Wilmington St","27601",35.7770159317825,-78.6381587254906,"$$","+19193220127"
"66","Big Ed's City Market Restaurant",FALSE,4,293,"220 Wolfe St","27601",35.776046,-78.635986,"$","+19198369909"
"67","Jose and Sons",FALSE,4,312,"327 W Davie St","27601",35.7751687442644,-78.6447423100471,"$$","+19197550556"
"68","Centro",FALSE,4,247,"106 S Wilmington St","27601",35.77926,-78.63844,"$$","+19198353593"
"69","Chuck's",FALSE,4,478,"237 S Wilmington St","27601",35.7771027517741,-78.6381538805309,"$$","+19193220126"
"70","Gravy",FALSE,4,303,"135 S Wilmington St","27601",35.7785415649414,-78.6379852294922,"$$","+19198968513"
"71","Humble Pie",FALSE,4,220,"317 S Harrington St","27603",35.776317,-78.644975,"$$","+19198299222"
"72","The Pit",FALSE,4,1798,"328 W Davie St","27601",35.77605,-78.64472,"$$","+19198904500"
"73","Caffe Luna",FALSE,3.5,164,"136 E Hargett St","27601",35.778016,-78.63677,"$$","+19198326090"
"74","Irregardless Cafe & Catering",FALSE,4,297,"901 W Morgan St","27603",35.78118,-78.65603,"$$","+19198338898"
"75","Five Star Restaurant",FALSE,3.5,155,"511 W Hargett St","27603",35.7784598579799,-78.6466055013238,"$$","+19198333311"
"76","State Farmers Market Restaurant",FALSE,3.5,181,"1240 Farmers Market Dr","27603",35.7626143097878,-78.6637535691261,"$","+19197551550"
"77","David's Dumpling & Noodle Bar",FALSE,4,375,"1900 Hillsborough St","27607",35.785851541761,-78.6614256310374,"$$","+19192394536"
"78","Busy Bee Cafe",FALSE,3.5,312,"225-100 S Wilmington St","27601",35.7774183283204,-78.6380124092102,"$$","+19194247817"
"79","P.G. Werth's",FALSE,4,80,"927 W Morgan St","27603",35.7821464538574,-78.6559143066406,"$$","+19842320415"
"80","Jimmy V's Osteria & Bar",FALSE,3.5,150,"420 Fayetteville St","27601",35.774778008093,-78.6395429086135,"$$","+19192561451"
"81","McLean's Ole Time Cafe",FALSE,4,37,"418 W Gannon Ave","27597",35.8223533630371,-78.3232650756836,"$$","+19192690125"
"82","Waffle House",FALSE,3.5,5,"102 Pearces Rd","27597",35.8392219543457,-78.3238754272461,"$","+19194044600"
"83","Whitley Furniture Galleries",FALSE,3.5,11,"101 W Vance St","27597",35.8208847045898,-78.3127822875977,"$$$$","+19192697447"
"84","Fargo Steakhouse",FALSE,2.5,10,"Food Lion Shopping Ctr","27597",35.8243208,-78.3147199,"$$","+19192693450"
"85","Pizza Hut",FALSE,2.5,8,"151 Wakelon St","27597",35.833469,-78.315727,"$$","+19192696455"
"86","Aubreys and Peedies Grill",FALSE,4.5,10,"38 N Main St","27591",35.7823559,-78.3696337,"$","+19193655528"
"87","Bittersweet",FALSE,4,150,"16 E Martin St","27601",35.7768987957,-78.6386073514511,"$$","+19199773829"
"88","Brixx Wood Fired Pizza",FALSE,3.5,29,"402 Oberlin Rd","27605",35.78977,-78.66237,"$$","+19197239370"
"89","Starbucks",FALSE,4,36,"609 W Peace St","27605",35.78836,-78.647956,"$$","+19197549007"
"90","Baskin Robbins",FALSE,3.5,8,"2018 Cameron St","27605",35.7910333,-78.6609388,"$","+19198281493"
"91","Starbucks",FALSE,2,24,"500 Fayetteville St Mall","27601",35.77359,-78.63997,"$$","+19193349894"
"92","Wicked Taco Raleigh",FALSE,3,127,"3928 Western Blvd","27606",35.785758,-78.692535,"$","+19193220446"
"93","Tasca Brava",FALSE,3.5,141,"607 Glenwood Ave","27603",35.7877998352051,-78.6475677490234,"$$$","+19198280840"
"94","ORO Restaurant & Lounge",FALSE,4,182,"18 E Martin St","27601",35.7768818306493,-78.6384739986725,"$$","+19192394010"
"95","J Betski's",FALSE,4.5,248,"10 W Franklin St","27604",35.7892985371783,-78.640372898815,"$$","+19198337999"
"96","Dunkin Donuts & Baskin Robbins",FALSE,2.5,4,"2316 Hillsborough St","27607",35.7877007,-78.6666489,NA,"+19198385277"
"97","Bloomsbury Bistro",FALSE,4.5,50,"509 W Whitaker Mill Rd","27608",35.8039894,-78.6447372,"$$$","+19198349011"
"98","Starbucks",FALSE,3.5,21,"3800 Lake Boone Trl","27607",35.8161735534668,-78.6937866210938,"$$","+19197816211"
"99","Starbucks",FALSE,4.5,25,"4421 Six Forks Rd","27609",35.840175,-78.643501,"$","+19195710713"
"100","Baskin Robbins",FALSE,5,1,"2727 Capital Blvd","27604",35.8168487548828,-78.6017990112305,"$","+19198759092"
"101","Starbucks",FALSE,3,21,"3023 Capital Blvd","27604",35.82154,-78.591781,"$","+19198758760"
"102","Trophy Brewing Company",FALSE,4,313,"827 W Morgan St","27603",35.7798441499472,-78.653557151556,"$$","+19198034849"
"103","Starbucks",FALSE,3.5,6,"4160 Main At N Hillsst","27609",35.8371849060059,-78.6432266235352,"$$","+19194200514"
"104","Starbucks",FALSE,3.5,22,"4421 New Bern Ave","27610",35.7989196777344,-78.5607528686523,"$$","+19192313271"
"105","Chick-fil-A",FALSE,3.5,20,"8901 Brier Creek Pkwy","27617",35.90103,-78.790525,"$","+19192930100"
"106","Chick-fil-A",FALSE,4,28,"1803 N Harrison Ave","27513",35.829251,-78.769784,"$","+19196781444"
"107","Chick-fil-A",FALSE,4,28,"6612 Glenwood Ave","27612",35.861142,-78.708701,"$","+19195718480"
"108","Bojangles",FALSE,3.5,19,"1000 Claren Cir","27560",35.8557281,-78.8237305,"$","+19194607171"
"109","Tasu",FALSE,3.5,301,"8919 Brier Creek Pkwy","27617",35.9008703252451,-78.7911987304688,"$$","+19195448474"
"110","Greek Fiesta at Brier Creek",FALSE,3.5,70,"8521 Brier Creek Pkwy","27617",35.905436,-78.7845693,"$","+19195443388"
"111","McDonald's",FALSE,2,21,"1805 N Harrison Ave","27513",35.8297920227051,-78.769157409668,"$","+19196771424"
"112","Chick-fil-A",FALSE,3,12,"7107 Okelly Chapel Rd","27519",35.84533859,-78.88731222,"$","+19194669525"
"113","Backyard Burger",FALSE,3.5,43,"9860 Leesville Rd","27613",35.9082108,-78.7282181,"$","+19198477098"
"114","Hardee's",FALSE,2,8,"4607 S Alston Ave","27713",35.900279,-78.88845,"$","+19195445362"
"115","Herons",FALSE,4,119,"The Umstead Hotel And Spa","27513",35.8298527953176,-78.7644302845001,"$$$$","+19194474200"
"116","Raleigh-Durham International Airport - RDU",FALSE,4,496,"2400 John Brantley Blvd","27560",35.8770194291507,-78.7893104553223,NA,"+19198407700"
"117","World Of Beer",FALSE,3,40,"2036 Renaissance Park Pl","27513",35.8268533,-78.7716853,"$$","+19192340088"
"118","Tossed",FALSE,3,64,"4117 Davis Dr","27560",35.8358979989676,-78.8583895147201,"$$","+19194604449"
"119","Steak 'N Shake",FALSE,2,35,"5900 Duraleigh Rd","27612",35.8580946751251,-78.7124166292744,"$","+19198097524"
"120","Pump It Up",FALSE,4,8,"10700 World Trade Blvd","27617",35.8984031677246,-78.8144302368164,NA,"+19198283344"
"121","PNC Bank",FALSE,5,1,"10321 Lumley Rd","27617",35.899181,-78.789642,NA,"+19194844760"
"122","Noodles & Company",FALSE,3,10,"7199 O'Kelly Chapel Rd","27519",35.8479827819505,-78.8891589433777,"$",NA
"123","Walmart Supercenter",FALSE,2,25,"10050 Glenwood Ave","27617",35.9125214071899,-78.7780647328804,"$","+19195965790"
"124","Hoops City U",FALSE,1.5,3,"4300 Emperor Blvd","27703",35.873238,-78.844725,NA,"+19194742400"
"125","Goji Bistro",FALSE,4.5,80,"100 Maynard Crossing Ct","27513",35.786727,-78.8106,"$$","+19194668888"
"126","Banana Leaf",FALSE,4,153,"1026 Ryan Rd","27511",35.7766290112274,-78.7677232931152,"$$","+19194689958"
"127","Sushi Thai Cary",FALSE,4,215,"106 Kilmayne Dr","27511",35.77049,-78.78304,"$$","+19194675747"
"128","C&T Wok",FALSE,4,367,"130 Morrisville Sq Way","27560",35.8199044,-78.8290908,"$$","+19194678860"
"129","Golden China",FALSE,4,11,"2432 SW Cary Pkwy","27513",35.763159,-78.822239,"$","+19193807895"
"130","Super Wok",FALSE,3.5,123,"Chatham Square","27511",35.78998,-78.76427,"$$","+19193888338"
"131","East Garden",FALSE,3.5,27,"1104 Ledsome Lane","27511",35.7632857,-78.7478499,"$$","+19193225558"
"132","Panda Express",FALSE,3,17,"1000 Beaver Creek Commons Dr","27502",35.7451972961426,-78.873176574707,"$","+19193626369"
"133","Asian Garden",FALSE,4,35,"242 Grande Heights Dr","27513",35.8044728636742,-78.7802928686142,"$","+19194628598"
"134","Taste Vietnamese Cuisine",FALSE,4,256,"152 Morrisville Sq Way","27560",35.8194487078488,-78.8290286064148,"$","+19192346385"
"135","YoHo Asian Bistro",FALSE,3,111,"8204 Tryon Woods Dr","27518",35.746691983088,-78.741323469755,"$$","+19198598081"
"136","Lucky Chicken Peruvian Cuisine",FALSE,3,25,"1851 N Harrison Ave","27513",35.8310882619296,-78.7698546422918,"$$","+19196783153"
"137","Granite Falls Swim & Athletic Club",FALSE,3.5,11,"800 Granite Falls Blvd","27571",35.92725,-78.46475,NA,"+19195628895"
"138","Iveys Towing",FALSE,3.5,5,"3737 Conquest Dr","27529",35.7287635803223,-78.5711441040039,NA,"+19196620249"
"139","Sammy's Tap & Grill",FALSE,2.5,85,"2235 Avent Ferry Rd","27606",35.77748,-78.67799,"$$","+19197553880"
"140","Massage Envy - Crabtree Valley",FALSE,4,20,"3201 Edwards Mill Road","27612",35.8259053,-78.7073374,"$$","+19197871114"
"141","Men's Club",FALSE,2.5,17,"3210 Yonkers Rd","27604",35.79782,-78.58928,"$$","+19192509826"
"142","Chai's Asian Bistro",FALSE,3.5,65,"8347 Creedmoor Rd","27613",35.901068598032,-78.6811470240355,"$$","+19193413715"
"143","Kroger",FALSE,3,12,"6300 Creedmoor Rd","27612",35.8718605,-78.6783371,"$$","+19198706028"
"144","Harris Teeter",FALSE,4,14,"Stonehenge Market","27612",35.88798,-78.67836,"$$","+19198481464"
"145","Kroger",FALSE,4,2,"8345 Creedmoor Rd","27613",35.90105,-78.68223,"$$","+19198482232"
"146","Kroger",FALSE,3.5,7,"7905 Falls of Neuse Rd","27615",35.8930435180664,-78.6269989013672,"$$","+19198475012"
"147","Lowes Foods",FALSE,3.5,11,"9600 Strickland Rd","27615",35.902774,-78.655685,"$$","+19198475661"
"148","Whole Foods Market North Raleigh",FALSE,4,76,"8710 Six Forks Rd","27615",35.8988914489746,-78.6502380371094,"$$","+19193540350"
"149","FastMed Urgent Care",FALSE,2,26,"6500 Creedmoor Road","27613",35.87439,-78.678879,NA,"+19198254000"
"150","Kroger Pharmacy",FALSE,5,1,"8345 Creedmoor Rd","27613",35.90105,-78.68223,"$$","+19198484191"
"151","Despina's Cafe",FALSE,4.5,63,"8369 Creedmoor Rd","27613",35.9015464,-78.6813026,"$","+19198485007"
"152","Hibernian Restaurant & Pub",FALSE,3,78,"8021 Falls of Neuse Rd","27615",35.894044,-78.624527,"$$","+19198030290"
"153","Chopstix Gourmet and Sushi Bar",FALSE,3.5,112,"5607 Creedmoor Rd","27612",35.8579279426118,-78.6820150539279,"$$","+19197816268"
"154","Kroger",FALSE,3.5,22,"350 E Six Forks Rd","27609",35.81975,-78.62802,"$$","+19198322110"
"155","Citizen Pops",FALSE,4,67,"","27612",35.853279,-78.687299,"$","+19198484221"
"156","Food Lion",FALSE,4,4,"7713 Lead Mine Rd","27615",35.886173,-78.660438,"$$","+19195181607"
"157","Crazy Fire Mongolian Grill",FALSE,3,31,"13200 Strickland Rd","27613",35.9087829589844,-78.7259368896484,"$$","+19198661300"
"158","Harris Teeter",FALSE,4,20,"9600 Falls of Neuse Rd","27615",35.904869273675,-78.6010535832588,"$$","+19196766614"
"159","MassageLuXe",FALSE,4,24,"7436 Creedmoor Rd","27613",35.8883434,-78.6794774,"$$","+19192495244"
"160","The Butcher's Market",FALSE,4.5,60,"5045 Falls of Neuse Rd","27609",35.849784,-78.615577,"$$","+19198098914"
"161","Food Lion",FALSE,3.5,10,"4827 Grove Barton Rd","27613",35.870715379715,-78.7165005505085,"$$","+19197814437"
"162","Moe's Southwest Grill",FALSE,2.5,12,"1410 East Broad St","27526",35.5942726135254,-78.7752456665039,"$","+19195575507"
"163","Taco Bell",FALSE,3.5,3,"1384 North Main Street","27526",35.591688,-78.786661,"$$","+19195575283"
"164","Fiesta Mexicana",FALSE,3.5,70,"428 Village Walk Dr","27540",35.6399119645357,-78.8375278562307,"$$","+19193461330"
"165","Aviator Smokehouse",FALSE,3.5,222,"525 E Broad St","27526",35.593076,-78.793817,"$$","+19195577675"
"166","Los Tres Magueyes",FALSE,3,34,"120 Bass Lake Rd","27540",35.6542702,-78.8240356,"$","+19195526272"
"167","Tyler's Tavern",FALSE,4,30,"2221 N Grassland Dr","27526",35.6159768,-78.8098677,"$$","+19197620940"
"168","Taco Bell",FALSE,1,1,"7112 G. B. Alford Highway","27540",35.64263,-78.83904,"$","+19195573801"
"169","My Way Tavern",FALSE,4,118,"301 W Center St","27450",35.65097,-78.83424,"$$","+19192852412"
"170","KFC",FALSE,2.5,4,"7112 G. B. Alford Highway","27540",35.6359,-78.8309,NA,"+19195573801"
"171","Olive Garden Italian Restaurant",FALSE,3,53,"107 Grand Hill Place","27540",35.658569,-78.84946,"$$","+19195522237"
"172","Chili's",FALSE,2.5,24,"111 Grand Hill Pl","27540",35.6605468690395,-78.849685639143,"$$","+19195577841"
"173","Whole Foods Market- Raleigh",FALSE,4,98,"3540 Wade Ave","27607",35.802574044284,-78.686298644258,"$$$","+19198285805"
"174","State Farmers Market",FALSE,4.5,182,"1201 Agriculture St","27603",35.7640968,-78.6646553,"$","+19197337417"
"175","Chubby's Tacos",FALSE,4,300,"2444 Wycliff Rd","27607",35.8171918,-78.6938651,"$","+19197814480"
"176","Food Lion",FALSE,3,3,"3926 Western Blvd","27607",35.7844542,-78.6926174,"$","+19196648059"
"177","Grand Asia Market",FALSE,4,190,"1253 Buck Jones Rd","27606",35.76562933156,-78.740267654731,"$","+19194682988"
"178","Cook Out",FALSE,4,84,"3930 Western Blvd","27606",35.7848243713379,-78.6930541992188,"$",NA
"179","Tuscan Blu",FALSE,3.5,103,"327 W Davie St","27601",35.775168,-78.6447558,"$$","+19198345707"
"180","Cameron Bar and Grill",FALSE,3.5,129,"2018 Clark Ave","27605",35.7895486553556,-78.6600726289055,"$$","+19197552231"
"181","Cloos' Coney Island",FALSE,4,106,"2233 Avent Ferry Rd","27606",35.77751,-78.67797,"$","+19198343354"
"182","Raleigh Raw",FALSE,4.5,51,"7 W Hargett St","27601",35.778189919668,-78.6395575443772,"$$","+19194000944"
"183","Food Lion",FALSE,2.5,3,"3415 Avent Ferry Rd","27606",35.7662658691406,-78.6972045898438,"$","+19198589772"
"184","Kader's French Bakery",FALSE,4.5,33,"Cary Towne Center Mall","27511",35.7705717533827,-78.7620732933283,"$","+19196593343"
"185","Around the World Market",FALSE,4,26,"6715 Hillsborough St","27606",35.7882118,-78.7439194,"$","+19198595403"
"186","Food Lion",FALSE,2.5,3,"2420 Wycliff Rd","27607",35.81676,-78.69299,"$","+19195713638"
"187","The Fresh Market",FALSE,3,38,"400 Woodburn Rd","27605",35.78992,-78.65855,"$$","+19198287888"
"188","Hot Point",FALSE,4,102,"1718 Walnut St","27511",35.763002,-78.747188,"$","+19194606299"
"189","Café de los Muertos",FALSE,4,136,"300 West Hargett St","27601",35.7785237595683,-78.6443085595965,"$","+19196997480"
"190","Boylan Bridge Brewpub",FALSE,2.5,229,"201 S Boylan Ave","27603",35.77858,-78.64904,"$$","+19198038927"
"191","Food Lion",FALSE,3.5,8,"2458 SW Cary Pkwy","27513",35.7638016,-78.8224411,"$","+19194811822"
"192","Trader Joe's",FALSE,4.5,114,"1393 Kildaire Farm Rd","27511",35.7588387818937,-78.7814785801787,"$$","+19194655984"
"193","Mamma Mia Italian Bistro",FALSE,4.5,119,"708 Laura Duncan Rd","27502",35.735401166812,-78.841689778329,"$$","+19193632228"
"194","Publix",FALSE,4,57,"1020 Bradford Plaza Way","27519",35.79314,-78.84507,"$$","+19194602082"
"195","Kroger",FALSE,3.5,19,"940 Us 64 Hwy W","27523",35.745617,-78.822021,"$$","+19193801422"
"196","Kroger",FALSE,4,11,"1273 NW Maynard Rd","27513",35.785351,-78.811905,"$$",NA
"197","Food Lion",FALSE,3.5,3,"980 Kildaire Farm Rd","27511",35.7721748352051,-78.7831268310547,"$","+19194674168"
"198","Fattoush Mediterranean Grill",FALSE,4,45,"781 Center St","27502",35.7295567,-78.8405004,"$","+19198892990"
"199","Travinia Italian Kitchen & Wine Bar",FALSE,3,156,"1301 Market Center Dr","27560",35.8067462175115,-78.8167119026184,"$$","+19194671718"
"200","Los Tres Magueyes",FALSE,3.5,106,"9605 Chapel Hill Rd","27560",35.8064079284668,-78.8115921020508,"$$","+19194819002"
"201","Food Lion",FALSE,3.5,9,"3609 Davis Dr","27560",35.8221778869629,-78.8491821289062,"$$",NA
"202","Gigi's Cupcakes of Brier Creek",FALSE,3.5,77,"8521 Brier Creek Parkway","27617",35.9055578,-78.7858534,"$$","+19192064002"
"203","Whole Foods Market Cary",FALSE,4,75,"102B New Waverly Pl","27518",35.73745,-78.777314,"$$","+19198168830"
"204","Woodys Sports Tavern & Grill",FALSE,3.5,79,"8322 Chapel Hill Rd","27513",35.79224,-78.7761699,"$$","+19193807737"
"205","Georgina's Pizzeria & Restaurant",FALSE,3.5,89,"3536 Davis Dr","27560",35.8176165813464,-78.8454163164494,"$$","+19193883820"
"206","Nothing Bundt Cakes",FALSE,5,79,"2008 Market Center Dr","27560",35.8074227,-78.8155188,"$","+19196945300"
"207","Harris Teeter",FALSE,3.5,21,"270 Grande Heights Dr","27513",35.805044,-78.780884,"$$","+19194604326"
"208","Amante Gourmet Pizza",FALSE,3.5,47,"9545 Chapel Hill Rd","27560",35.804153238969,-78.8107360721895,"$$","+19193803382"
"209","Walmart Supercenter",FALSE,2.5,16,"4500 Fayetteville Rd","27603",35.7189407,-78.6585693,"$","+19197728751"
"210","MoJo's Grill",FALSE,4,33,"2648 Timber Dr","27529",35.7160187,-78.6395035,"$","+19196621115"
"211","Popeyes Louisiana Kitchen",FALSE,3.5,7,"1701 Pinewinds Dr","27603",35.7164290780816,-78.6549995094538,"$","+19193290069"
"212","Kroger",FALSE,3,23,"2680 Timber Dr","27529",35.7164158,-78.6393358,"$$","+19196618400"
"213","The Michelle Roberts Real Estate Team",FALSE,5,1,"201 Shannon Oaks Cir","27511",35.7594843,-78.784688,NA,"+19194140805"
"214","Sullivan's Steakhouse",FALSE,4,213,"414 Glenwood Ave","27603",35.7858059566666,-78.64708905159,"$$$","+19198332888"
"215","Sushi Blues Cafe",FALSE,3,284,"301 Glenwood Ave","27603",35.7845062307937,-78.6475706726734,"$$","+19196648061"
"216","Jumbo China Buffet",FALSE,2,13,"4424 Fayetteville Rd","27603",35.719696,-78.656876,"$","+19197798858"
"217","Target",FALSE,4,16,"2700 Timber Dr","27529",35.71546,-78.63843,"$$","+19197729065"
"218","iFixandRepair",FALSE,2,7,"4325 Glenwood Ave.","27612",35.8381257,-78.6764438,"$","+19194363349"
"219","Solas",FALSE,3.5,123,"419 Glenwood Ave","27603",35.78568,-78.64775,"$$$","+19197550755"
