name,is_closed,rating,review_count,location.address1,location.zip_code,coordinates.latitude,coordinates.longitude,price,phone,categories
Lemongrass Thai Restaurant,FALSE,4.0,92,8320 Litchford Rd,27615,35.89223,-78.59988,$$,+19199540377,thai
Taste Carolina Gourmet Food Tours,FALSE,4.5,86,NA,27601,35.77742,-78.63328,$$,+19192372254,foodtours
The Blistered Pig Smokehouse,FALSE,3.0,132,225 N Salem St,27502,35.73263,-78.85088,$$,+19194463366,bbq
Salem Street Pub,FALSE,4.0,151,113 N Salem St,27502,35.73125,-78.8515199,$$,+19193879992,"tradamerican,pubs"
Daniel's Restaurant & Catering,FALSE,4.0,204,1430 Hwy 55,27523,35.7524767600721,-78.876610994339,$$,+19193031006,"italian,catering"
Peak City Grill & Bar,FALSE,3.5,131,126 N Salem St,27502,35.731585974544,-78.850696443917,$$$,+19193038001,"newamerican,seafood,steak"
Tyler's Restaurant and Taproom,FALSE,3.0,147,1479 Beaver Creek Commons Dr,27502,35.744804205625,-78.884400986014,$$,+19193551380,tradamerican
Skipper's Fish Fry,FALSE,4.0,134,1001 E Williams St,27502,35.72111,-78.84349,$$,+19193032400,seafood
The Pet Pantry,FALSE,5.0,25,2521 Schieffelin Rd,27502,35.72339,-78.8295,NA,+19193031990,petstore
Lucky 32 Southern Kitchen,FALSE,4.0,410,7307 Tryon Rd,27511,35.7365208018483,-78.7852342071777,$$,+19192331632,"newamerican,southern"
Tony's Oyster Bar,FALSE,3.0,105,107 Edinburgh Dr,27511,35.7393859,-78.7983155,$$,+19194626226,"seafood,cajun,bars"
City Barbeque,FALSE,4.0,309,1305 Kildaire Farm Rd,27511,35.7610092790252,-78.782536610241,$$,+19194395191,bbq
Doherty's Irish Pub & Restaurant,FALSE,4.0,214,1979 High House Rd,27519,35.7885668,-78.8480648,$$,+19193889930,"irish,pubs,burgers"
West Park Tavern,FALSE,3.5,106,2734 Nc 55 Hwy,27519,35.7854222,-78.8709665,$$,+19193039300,"tradamerican,sportsbars"
Corbett's Burgers and Soda Bar,FALSE,4.5,196,126 Kilmayne Dr,27511,35.7704475557315,-78.7833854556084,$,+19194660055,"hotdog,tradamerican,burgers"
Abbey Road Tavern & Grill,FALSE,3.5,162,1195 W Chatham St,27513,35.770710117212,-78.807025270605,$$,+19194814434,"bars,burgers,tradamerican"
Totopos,FALSE,4.0,277,1388 Kildaire Farm Rd,27511,35.759174,-78.783798,$$,+19196783449,mexican
Brew N Que,FALSE,4.5,197,1222 NW Maynard Rd,27513,35.7846439066943,-78.8094571350688,$$,+19197992023,"southern,bbq"
Char Grill,FALSE,3.5,26,3635 SW Cary Pkwy,27513,35.7816251027419,-78.8382900230878,$,+19194617112,"burgers,hotdog"
CinéBistro At Waverly Place,FALSE,4.5,116,525 New Waverly Pl,27518,35.738913247148,-78.7767246455078,$$,+19199873500,"tradamerican,movietheaters"
The Corner Tavern and Grill,FALSE,3.5,77,1301 NW Maynard Rd,27513,35.7852854,-78.8101574,$$,+19194600088,"tradamerican,bars,moroccan"
Taco Bell,FALSE,3.0,8,2207 S. Main Street,27587,35.946919,-78.536299,$,+19195544924,"hotdogs,tex-mex,mexican"
Gonza Tacos Y Tequila,FALSE,4.0,98,1851-1889 S Main St,27587,35.9525325,-78.5275968,$$,+19192052500,"mexican,bars,latin"
Tlaquepaque Mexican Cuisine,FALSE,4.0,84,11206 Capital Blvd,27587,35.951672,-78.538906,$$,+19195542544,mexican
Chubby's Tacos,FALSE,3.5,82,River Town Center,27614,35.9079596,-78.5886189,$,+19198467044,mexican
Moe's Southwest Grill,FALSE,3.0,20,10760-101 Wakefield Commons Dr,27614,35.942630224462,-78.5411123722927,$,+19195703222,"mexican,tex-mex"
Las Margaritas Mexican Restaurant,FALSE,4.0,59,111 S White St,27587,35.97889,-78.50925,$$,+19195568319,mexican
Don Julio Mexican Restaurant,FALSE,4.0,24,12516 Capital Blvd,27587,35.9878736,-78.5330557,$$,+19842351537,"mexican,bars"
Los Tres Magueyes,FALSE,3.0,26,12400 Wake Union Church Rd,27587,35.98314,-78.53908,$,+19195542554,mexican
Bangkok Thai,FALSE,4.0,92,13200 Falls of Neuse Rd,27614,35.9406604251596,-78.5597248043686,$$,+19195541561,"thai,salad,soup"
Mellow Mushroom,FALSE,3.5,59,2125 S Main St,27587,35.94743,-78.5355,$$,+19195568884,"pizza,bars,sandwiches"
Tropical Picken Chicken,FALSE,4.0,174,2010 S Main St,27587,35.94976,-78.53137,$,+19194356812,"cuban,puertorican,dominican"
Buffalo Brothers,FALSE,3.0,59,11735 Retail Dr,27587,35.9677061769395,-78.5434391480247,$$,+19195706004,"tradamerican,burgers,chicken_wings"
Shuckers Oyster Bar & Grill,FALSE,4.0,161,3309 Rogers Rd,27587,35.95073,-78.51539,$$,+19194531593,"seafood,steak"
Smithfield's Chicken N Bar-B-Q,FALSE,3.5,17,12504 Capital Blvd,27587,35.98666,-78.5338211,$,+19194888388,bbq
Chili's,FALSE,2.5,18,11380 Capital Blvd,27587,35.95485,-78.53983,$$,+19195540488,"tradamerican,tex-mex,bars"
On The Border Mexican Grill & Cantina,FALSE,3.0,48,3351 Cypress Plantation Trl,27616,35.871212094365,-78.582443948576,$$,+19198903100,"mexican,tex-mex"
Taza Grill,FALSE,4.5,36,10940 Raven Ridge Rd,27614,35.907678999512,-78.5901638679913,$,+19198457772,"mediterranean,greek"
East Coast Wings & Grill,FALSE,3.0,32,12646 Capital Blvd,27587,35.9894054,-78.5311414,$$,+19843773294,"chicken_wings,tradamerican"
San Jose Mexican Restaurant,FALSE,3.5,114,5811 Poyner Village Pkwy,27616,35.8638763,-78.570549,$$,+19197901919,mexican
Gatehouse Tavern,FALSE,3.0,70,960 Gateway Commons Cir,27587,35.9686356,-78.4934311,$$,+19195696745,"tradamerican,steak,bars"
The Remedy Diner,FALSE,4.0,347,137 E Hargett St,27601,35.7783224,-78.6370674,$$,+19198353553,"vegetarian,sandwiches"
The Fiction Kitchen,FALSE,4.5,336,428 S Dawson St,27601,35.7745972,-78.6438293,$$,+19198314177,"vegan,vegetarian,gluten_free"
Sosta Café,FALSE,4.5,122,130 E Davie St,27601,35.775453363187,-78.637626025473,$,+19198331006,"coffee,sandwiches"
Raleigh Times Bar,FALSE,4.0,481,14 E Hargett St,27601,35.7781388809935,-78.6386299171509,$$,+19198330999,"bars,tradamerican"
Beasley's Chicken & Honey,FALSE,4.0,938,237 S Wilmington St,27601,35.7770159317825,-78.6381587254906,$$,+19193220127,"southern,newamerican"
Big Ed's City Market Restaurant,FALSE,4.0,292,220 Wolfe St,27601,35.77604,-78.63598,$,+19198369909,"breakfast_brunch,comfortfood,soulfood"
Jose and Sons,FALSE,4.0,313,327 W Davie St,27601,35.7751687442644,-78.6447423100471,$$,+19197550556,"newamerican,mexican"
Centro,FALSE,4.0,246,106 S Wilmington St,27601,35.77926,-78.63844,$$,+19198353593,"mexican,breakfast_brunch,gluten_free"
Chuck's,FALSE,4.0,478,237 S Wilmington St,27601,35.7771027517741,-78.6381538805309,$$,+19193220126,burgers
Gravy,FALSE,4.0,302,135 S Wilmington St,27601,35.77854,-78.63798,$$,+19198968513,"italian,newamerican"
Humble Pie,FALSE,4.0,220,317 S Harrington St,27603,35.776317,-78.644975,$$,+19198299222,"breakfast_brunch,newamerican,bars"
The Pit,FALSE,4.0,1799,328 W Davie St,27601,35.77605,-78.64472,$$,+19198904500,"bbq,tradamerican,soulfood"
Caffe Luna,FALSE,3.5,164,136 E Hargett St,27601,35.778016,-78.63677,$$,+19198326090,italian
Irregardless Cafe & Catering,FALSE,4.0,298,901 W Morgan St,27603,35.78118,-78.65603,$$,+19198338898,"newamerican,breakfast_brunch,vegetarian"
Five Star Restaurant,FALSE,3.5,155,511 W Hargett St,27603,35.7784598579799,-78.6466055013238,$$,+19198333311,"chinese,bars,diners"
State Farmers Market Restaurant,FALSE,3.5,181,1240 Farmers Market Dr,27603,35.7626589,-78.663656,$,+19197551550,"southern,breakfast_brunch,sandwiches"
David's Dumpling & Noodle Bar,FALSE,4.0,375,1900 Hillsborough St,27607,35.785851541761,-78.6614256310374,$$,+19192394536,noodles
Busy Bee Cafe,FALSE,3.5,313,225-100 S Wilmington St,27601,35.7774183283204,-78.6380124092102,$$,+19194247817,"newamerican,bars"
P.G. Werth's,FALSE,4.0,81,927 W Morgan St,27603,35.78211,-78.65555,$$,+19842320415,"newamerican,cafes,gourmet"
Jimmy V's Osteria & Bar,FALSE,3.5,152,420 Fayetteville St,27601,35.774778008093,-78.6395429086135,$$,+19192561451,"bars,tradamerican,italian"
McLean's Ole Time Cafe,FALSE,4.0,37,418 W Gannon Ave,27597,35.82237,-78.32321,$$,+19192690125,"breakfast_brunch,tradamerican"
Waffle House,FALSE,3.5,5,102 Pearces Rd,27597,35.83922,-78.32386,$,+19194044600,"breakfast_brunch,newamerican,waffles"
Whitley Furniture Galleries,FALSE,3.5,11,101 W Vance St,27597,35.82088,-78.31278,$$$$,+19192697447,"furniture,mattresses"
Fargo Steakhouse,FALSE,2.5,10,Food Lion Shopping Ctr,27597,35.8243208,-78.3147199,$$,+19192693450,steak
Pizza Hut,FALSE,2.5,8,151 Wakelon St,27597,35.83347,-78.31572,$$,+19192696455,"pizza,italian,chicken_wings"
Aubreys and Peedies Grill,FALSE,4.5,10,38 N Main St,27591,35.7823559,-78.3696337,$,+19193655528,"hotdogs,burgers,tradamerican"
Bittersweet,FALSE,4.0,150,16 E Martin St,27601,35.7768987957,-78.6386073514511,$$,+19199773829,"coffee,bakeries,cocktailbars"
Brixx Wood Fired Pizza,FALSE,3.5,29,402 Oberlin Rd,27605,35.78977,-78.66237,$$,+19197239370,pizza
Starbucks,FALSE,4.0,36,609 W Peace St,27605,35.78836,-78.64796,$$,+19197549007,coffee
Baskin Robbins,FALSE,3.5,8,2018 Cameron St,27605,35.7910333,-78.6609388,$,+19198281493,icecream
Starbucks,FALSE,2.0,24,500 Fayetteville St Mall,27601,35.77359,-78.63997,$$,+19193349894,coffee
Wicked Taco Raleigh,FALSE,3.0,127,3928 Western Blvd,27606,35.7844231,-78.6929553,$,+19193220446,mexican
Dunkin Donuts & Baskin Robbins,FALSE,2.5,4,2316 Hillsborough St,27607,35.7877007,-78.6666489,NA,+19198385277,"donuts,icecream"
Tasca Brava,FALSE,3.5,142,607 Glenwood Ave,27603,35.78779,-78.64757,$$$,+19198280840,"spanish,tapas,latin"
J Betski's,FALSE,4.5,247,10 W Franklin St,27604,35.7892985371783,-78.640372898815,$$,+19198337999,"german,polish"
ORO Restaurant & Lounge,FALSE,4.0,182,18 E Martin St,27601,35.7768818306493,-78.6384739986725,$$,+19192394010,"tapasmallplates,newamerican,lounges"
Starbucks,FALSE,3.5,21,3800 Lake Boone Trl,27607,35.81617,-78.69378,$$,+19197816211,coffee
Starbucks,FALSE,4.5,25,4421 Six Forks Rd,27609,35.84001,-78.64328,$,+19195710713,coffee
Bloomsbury Bistro,FALSE,4.0,50,509 W Whitaker Mill Rd,27608,35.8039894,-78.6447372,$$$,+19198349011,newamerican
Baskin Robbins,FALSE,5.0,1,2727 Capital Blvd,27604,35.8168488,-78.601799,$,+19198759092,icecream
Starbucks,FALSE,3.0,21,3023 Capital Blvd,27604,35.8215408,-78.5917664,$,+19198758760,coffee
Starbucks,FALSE,3.5,6,4160 Main At N Hillsst,27609,35.8368683,-78.6432877,$$,+19194200514,coffee
Starbucks,FALSE,3.5,22,4421 New Bern Ave,27610,35.7989197,-78.5607529,$$,+19192313271,coffee
Trophy Brewing Company,FALSE,4.0,312,827 W Morgan St,27603,35.779747,-78.6535339,$$,+19198034849,"bars,breweries,pizza"
Chick-fil-A,FALSE,3.5,20,8901 Brier Creek Pkwy,27617,35.90103,-78.790525,$,+19192930100,hotdogs
Chick-fil-A,FALSE,4.0,28,1803 N Harrison Ave,27513,35.829251,-78.769784,$,+19196781444,hotdogs
Chick-fil-A,FALSE,4.0,28,6612 Glenwood Ave,27612,35.861142,-78.708701,$,+19195718480,hotdogs
Bojangles,FALSE,3.5,19,1000 Claren Cir,27560,35.8557281,-78.8237305,$,+19194607171,hotdogs
Tasu,FALSE,3.5,300,8919 Brier Creek Pkwy,27617,35.9008703252451,-78.7911987304688,$$,+19195448474,"sushi,japanese,asianfusion"
Greek Fiesta at Brier Creek,FALSE,3.5,70,8521 Brier Creek Pkwy,27617,35.905436,-78.7845693,$,+19195443388,"greek,mediterranean"
McDonald's,FALSE,2.0,21,1805 N Harrison Ave,27513,35.82978,-78.76918,$,+19196771424,"hotdogs,burgers"
Chick-fil-A,FALSE,3.0,12,7107 Okelly Chapel Rd,27519,35.84533859,-78.88731222,$,+19194669525,hotdogs
Backyard Burger,FALSE,3.5,43,9860 Leesville Rd,27613,35.9082108,-78.7282181,$,+19198477098,burgers
Hardee's,FALSE,2.0,8,4607 S Alston Ave,27713,35.90028,-78.88845,$,+19195445362,hotdogs
Herons,FALSE,4.0,119,The Umstead Hotel And Spa,27513,35.8298527953176,-78.7644302845001,$$$$,+19194474200,"newamerican,breakfast_brunch"
Raleigh-Durham International Airport - RDU,FALSE,4.0,495,2400 John Brantley Blvd,27560,35.8770194291507,-78.7893104553223,NA,+19198407700,airports
World Of Beer,FALSE,3.0,40,2036 Renaissance Park Pl,27513,35.8268533,-78.7716853,$$,+19192340088,"pubs,tradamerican"
Tossed,FALSE,3.0,64,4117 Davis Dr,27560,35.8358979989676,-78.8583895147201,$$,+19194604449,"newamerican,salad"
Steak 'N Shake,FALSE,2.0,35,5900 Duraleigh Rd,27612,35.8580946751251,-78.7124166292744,$,+19198097524,"newamerican,breakfast_brunch,burgers"
Pump It Up,FALSE,4.0,9,10700 World Trade Blvd,27617,35.89838,-78.81441,NA,+19198283344,eventplanning
PNC Bank,FALSE,5.0,1,10321 Lumley Rd,27617,35.8987694,-78.78965,NA,+19194844760,banks
Walmart Supercenter,FALSE,2.0,25,10050 Glenwood Ave,27617,35.9125214071899,-78.7780647328804,$,+19195965790,"deptstores,grocery"
Noodles & Company,FALSE,3.0,10,7199 O'Kelly Chapel Rd,27519,35.8479827819505,-78.8891589433777,$,NA,noodles
Hoops City U,FALSE,1.5,3,4300 Emperor Blvd,27703,35.873238,-78.844725,NA,+19194742400,summer_camps
Goji Bistro,FALSE,4.5,81,100 Maynard Crossing Ct,27513,35.7867203,-78.8106003,$$,+19194668888,"asianfusion,gluten_free,bars"
Banana Leaf,FALSE,4.0,154,1026 Ryan Rd,27511,35.7766290112274,-78.7677232931152,$$,+19194689958,"cantonese,asianfusion,szechuan"
Sushi Thai Cary,FALSE,4.0,215,106 Kilmayne Dr,27511,35.77049,-78.78304,$$,+19194675747,"sushi,thai"
Golden China,FALSE,4.0,11,2432 SW Cary Pkwy,27513,35.763159,-78.822239,$,+19193807895,chinese
C&T Wok,FALSE,4.0,368,130 Morrisville Sq Way,27560,35.8199044,-78.8290908,$$,+19194678860,"chinese,thai"
Super Wok,FALSE,3.5,123,Chatham Square,27511,35.78998,-78.76427,$$,+19193888338,chinese
East Garden,FALSE,3.5,28,1104 Ledsome Lane,27511,35.7632857,-78.7478499,$$,+19193225558,cantonese
Panda Express,FALSE,3.0,17,1000 Beaver Creek Commons Dr,27502,35.7451897,-78.8731689,$,+19193626369,"chinese,hotdogs"
Asian Garden,FALSE,4.0,35,242 Grande Heights Dr,27513,35.8048434,-78.78059,$,+19194628598,"asianfusion,chinese"
Taste Vietnamese Cuisine,FALSE,4.0,258,152 Morrisville Sq Way,27560,35.8194487078488,-78.8290286064148,$,+19192346385,"vietnamese,asianfusion"
YoHo Asian Bistro,FALSE,3.0,111,8204 Tryon Woods Dr,27518,35.746691983088,-78.741323469755,$$,+19198598081,"chinese,asianfusion,sushi"
Lucky Chicken Peruvian Cuisine,FALSE,3.0,25,1851 N Harrison Ave,27513,35.8310882619296,-78.7698546422918,$$,+19196783153,peruvian
Granite Falls Swim & Athletic Club,FALSE,3.5,11,800 Granite Falls Blvd,27571,35.92725,-78.46475,NA,+19195628895,"gyms,swimmingpools"
Iveys Towing,FALSE,3.5,5,3737 Conquest Dr,27529,35.7288208,-78.5708313,NA,+19196620249,towing
Sammy's Tap & Grill,FALSE,2.5,85,2235 Avent Ferry Rd,27606,35.77748,-78.67799,$$,+19197553880,"sportsbars,tradamerican"
Massage Envy - Crabtree Valley,FALSE,4.0,20,3201 Edwards Mill Road,27612,35.8259053,-78.7073374,$$,+19197871114,"massage,skincare,spas"
Men's Club,FALSE,2.5,16,3210 Yonkers Rd,27604,35.79782,-78.58928,$$,+19192509826,adultentertainment
Chai's Asian Bistro,FALSE,3.5,65,8347 Creedmoor Rd,27613,35.9013023,-78.681282,$$,+19193413715,asianfusion
Harris Teeter,FALSE,4.0,14,Stonehenge Market,27612,35.88798,-78.67836,$$,+19198481464,"grocery,drugstores"
Kroger,FALSE,3.0,12,6300 Creedmoor Rd,27612,35.8718605,-78.6783371,$$,+19198706028,grocery
Kroger,FALSE,4.0,2,8345 Creedmoor Rd,27613,35.90105,-78.68223,$$,+19198482232,"deptstores,grocery"
Kroger,FALSE,3.5,7,7905 Falls of Neuse Rd,27615,35.8929199,-78.62703,$$,+19198475012,grocery
Lowes Foods,FALSE,3.5,11,9600 Strickland Rd,27615,35.9027699,-78.65568,$$,+19198475661,"grocery,beer_and_wine,chicken_wings"
Whole Foods Market North Raleigh,FALSE,4.0,76,8710 Six Forks Rd,27615,35.89803,-78.65057,$$,+19193540350,"grocery,beer_and_wine,healthmarkets"
FastMed Urgent Care,FALSE,2.0,26,6500 Creedmoor Road,27613,35.8743896,-78.6788712,NA,+19198254000,"physicians,urgent_care"
Kroger Pharmacy,FALSE,5.0,1,8345 Creedmoor Rd,27613,35.90105,-78.68223,$$,+19198484191,drugstores
Despina's Cafe,FALSE,4.5,62,8369 Creedmoor Rd,27613,35.9015464,-78.6813026,$,+19198485007,"coffee,sandwiches,soup"
Hibernian Restaurant & Pub,FALSE,3.0,78,8021 Falls of Neuse Rd,27615,35.894044,-78.624527,$$,+19198030290,"irish,pubs"
Chopstix Gourmet and Sushi Bar,FALSE,3.5,113,5607 Creedmoor Rd,27612,35.8579279426118,-78.6820150539279,$$,+19197816268,"chinese,sushi,asianfusion"
Kroger,FALSE,3.5,23,350 E Six Forks Rd,27609,35.81975,-78.62802,$$,+19198322110,grocery
Citizen Pops,FALSE,4.0,67,,27612,35.853279,-78.687299,$,+19198484221,"icecream,desserts,foodtrucks"
Food Lion,FALSE,4.0,4,7713 Lead Mine Rd,27615,35.8869,-78.65973,$$,+19195181607,"delis,grocery"
Crazy Fire Mongolian Grill,FALSE,3.0,31,13200 Strickland Rd,27613,35.90687,-78.72548,$$,+19198661300,"sushi,mongolian"
MassageLuXe,FALSE,4.0,24,7436 Creedmoor Rd,27613,35.8883434,-78.6794774,$$,+19192495244,"massage_therapy,reflexology,skincare"
The Butcher's Market,FALSE,4.5,60,5045 Falls of Neuse Rd,27609,35.8503443,-78.6146822,$$,+19198098914,"butcher,grocery"
Harris Teeter,FALSE,4.0,20,9600 Falls of Neuse Rd,27615,35.904869273675,-78.6010535832588,$$,+19196766614,"grocery,drugstores,flowers"
Food Lion,FALSE,3.5,11,4827 Grove Barton Rd,27613,35.8714943,-78.7183151,$$,+19197814437,grocery
Moe's Southwest Grill,FALSE,2.5,12,1410 East Broad St,27526,35.59428,-78.77525,$,+19195575507,"mexican,tex-mex"
Taco Bell,FALSE,3.5,3,1384 North Main Street,27526,35.591688,-78.786661,$$,+19195575283,"mexican,tex-mex,hotdogs"
Fiesta Mexicana,FALSE,3.5,70,428 Village Walk Dr,27540,35.639816,-78.8375547,$$,+19193461330,mexican
Aviator Smokehouse,FALSE,3.5,224,525 E Broad St,27526,35.593076,-78.793817,$$,+19195577675,"tradamerican,bbq,sportsbars"
Los Tres Magueyes,FALSE,3.0,34,120 Bass Lake Rd,27540,35.6542702,-78.8240356,$,+19195526272,mexican
Tyler's Tavern,FALSE,4.0,30,2221 N Grassland Dr,27526,35.6159768,-78.8098677,$$,+19197620940,"tradamerican,bars"
Taco Bell,FALSE,1.0,1,7112 G. B. Alford Highway,27540,35.64263,-78.83904,$,+19195573801,"tex-mex,hotdogs,mexican"
My Way Tavern,FALSE,4.0,117,301 W Center St,27450,35.65097,-78.83424,$$,+19192852412,"sportsbars,tradamerican"
KFC,FALSE,2.5,4,7112 G. B. Alford Highway,27540,35.6359,-78.8309,NA,+19195573801,"hotdogs,chicken_wings"
Olive Garden Italian Restaurant,FALSE,3.0,51,107 Grand Hill Place,27540,35.658569,-78.84946,$$,+19195522237,"italian,salad,wine_bars"
Chili's,FALSE,2.5,24,111 Grand Hill Pl,27540,35.6603832,-78.8495603,$$,+19195577841,"bars,tex-mex"
Whole Foods Market- Raleigh,FALSE,4.0,98,3540 Wade Ave,27607,35.802574044284,-78.686298644258,$$$,+19198285805,"grocery,healthmarkets,beer_and_wine"
State Farmers Market,FALSE,4.5,182,1201 Agriculture St,27603,35.7640968,-78.6646553,$,+19197337417,farmersmarket
Food Lion,FALSE,3.0,3,3926 Western Blvd,27607,35.7844542,-78.6926174,$,+19196648059,grocery
Chubby's Tacos,FALSE,4.0,299,2444 Wycliff Rd,27607,35.8171918,-78.6938651,$,+19197814480,mexican
Grand Asia Market,FALSE,4.0,188,1253 Buck Jones Rd,27606,35.76562933156,-78.740267654731,$,+19194682988,grocery
Tuscan Blu,FALSE,3.5,103,327 W Davie St,27601,35.775168,-78.6447558,$$,+19198345707,"italian,beer_and_wine"
Cook Out,FALSE,4.0,84,3930 Western Blvd,27606,35.78482,-78.69305,$,NA,"burgers,hotdogs"
Cameron Bar and Grill,FALSE,3.5,129,2018 Clark Ave,27605,35.7895486553556,-78.6600726289055,$$,+19197552231,"bars,tradamerican"
Cloos' Coney Island,FALSE,4.0,106,2233 Avent Ferry Rd,27606,35.77751,-78.67797,$,+19198343354,"hotdog,burgers"
Raleigh Raw,FALSE,4.5,51,7 W Hargett St,27601,35.778189919668,-78.6395575443772,$$,+19194000944,"juicebars,coffee,kombucha"
Food Lion,FALSE,2.5,3,3415 Avent Ferry Rd,27606,35.7663689,-78.6972427,$,+19198589772,grocery
Kader's French Bakery,FALSE,4.5,34,Cary Towne Center Mall,27511,35.770481,-78.7621081,$,+19196593343,"bakeries,cupcakes"
Food Lion,FALSE,2.5,3,2420 Wycliff Rd,27607,35.81676,-78.69299,$,+19195713638,"delis,grocery"
Around the World Market,FALSE,4.0,26,6715 Hillsborough St,27606,35.7882118,-78.7439194,$,+19198595403,"indpak,grocery,importedfood"
The Fresh Market,FALSE,3.0,38,400 Woodburn Rd,27605,35.7896349577091,-78.6585730147562,$$,+19198287888,"grocery,gourmet"
Café de los Muertos,FALSE,4.0,136,300 West Hargett St,27601,35.7785237595683,-78.6443085595965,$,+19196997480,coffee
Hot Point,FALSE,4.0,102,1718 Walnut St,27511,35.763002,-78.747188,$,+19194606299,"cafes,newamerican,pizza"
Food Lion,FALSE,3.0,4,2861 Jones Franklin Rd,27606,35.74357781794,-78.738314379374,$$,+19192339708,grocery
Food Lion,FALSE,3.5,8,2458 SW Cary Pkwy,27513,35.7638016,-78.8224411,$,+19194811822,grocery
Trader Joe's,FALSE,4.5,115,1393 Kildaire Farm Rd,27511,35.7588387818937,-78.7814785801787,$$,+19194655984,"grocery,beer_and_wine"
Mamma Mia Italian Bistro,FALSE,4.5,119,708 Laura Duncan Rd,27502,35.735401166812,-78.841689778329,$$,+19193632228,"italian,pizza"
Publix,FALSE,4.0,57,1020 Bradford Plaza Way,27519,35.79314,-78.84507,$$,+19194602082,"bakeries,drugstores,beer_and_wine"
Kroger,FALSE,3.5,19,940 Us 64 Hwy W,27523,35.745617,-78.822021,$$,+19193801422,grocery
Kroger,FALSE,4.0,11,1273 NW Maynard Rd,27513,35.7853508,-78.8119202,$$,NA,grocery
Food Lion,FALSE,3.5,3,980 Kildaire Farm Rd,27511,35.7721024,-78.781868,$,+19194674168,grocery
Fattoush Mediterranean Grill,FALSE,4.0,44,781 Center St,27502,35.7295567,-78.8405004,$,+19198892990,"mediterranean,greek,burgers"
Travinia Italian Kitchen & Wine Bar,FALSE,3.0,156,1301 Market Center Dr,27560,35.8067462175115,-78.8167119026184,$$,+19194671718,"italian,wine_bars,catering"
Food Lion,FALSE,3.5,9,3609 Davis Dr,27560,35.82217,-78.84918,$$,NA,grocery
Los Tres Magueyes,FALSE,3.5,106,9605 Chapel Hill Rd,27560,35.80638,-78.81161,$$,+19194819002,mexican
Gigi's Cupcakes of Brier Creek,FALSE,3.5,77,8521 Brier Creek Parkway,27617,35.9055578,-78.7858534,$$,+19192064002,"bakeries,cupcakes,desserts"
Whole Foods Market Cary,FALSE,4.0,75,102B New Waverly Pl,27518,35.73745,-78.777314,$$,+19198168830,"grocery,healthmarkets,beer_and_wine"
Woodys Sports Tavern & Grill,FALSE,3.5,79,8322 Chapel Hill Rd,27513,35.79224,-78.7761699,$$,+19193807737,"sportsbars,sandwiches"
