,name,id,is_closed,rating,review_count,location.address1,location.zip_code,coordinates.latitude,coordinates.longitude,price,phone,categories
14,Spring Rolls,spring-rolls-raleigh,FALSE,3,97,4361 Lassiter At N Hills Ave,27609,35.83806375,-78.64378452,$$,19197838180,asianfusion
15,Thai House,thai-house-raleigh,FALSE,3.5,121,1408 Hardimont Rd,27609,35.8370651,-78.6141399,$$,19198783379,thai
16,Red Lobster,red-lobster-raleigh,FALSE,3,53,4408 Old Wake Forest Road,27609,35.84113,-78.61058,$$,19198725608,"seafood,tradamerican"
17,Seoul Garden Restaurant,seoul-garden-restaurant-raleigh,FALSE,4,239,4701 Atlantic Ave,27604,35.84905281,-78.60297419,$$,19198509984,korean
18,Monapita Mediterranean Grill,monapita-mediterranean-grill-raleigh,FALSE,4.5,128,5260 Capital Blvd,27616,35.8584037,-78.5805677,$,19194316500,mediterranean
19,The Melting Pot,the-melting-pot-raleigh,FALSE,3.5,91,3100 Wake Forest Rd,27609,35.82403,-78.6217999,$$$,19198780477,fondue
20,Lemongrass Thai Restaurant,lemongrass-thai-restaurant-raleigh,FALSE,4,92,8320 Litchford Rd,27615,35.89223,-78.59988,$$,19199540377,thai
1,Taste Carolina Gourmet Food Tours,taste-carolina-gourmet-food-tours-raleigh,FALSE,4.5,86,NA,27601,35.77742,-78.63328,$$,19192372254,foodtours
2,The Blistered Pig Smokehouse,the-blistered-pig-smokehouse-apex,FALSE,3,132,225 N Salem St,27502,35.73263,-78.85088,$$,19194463366,bbq
3,Salem Street Pub,salem-street-pub-apex,FALSE,4,151,113 N Salem St,27502,35.73125,-78.8515199,$$,19193879992,"tradamerican,pubs"
4,Daniel's Restaurant & Catering,daniels-restaurant-and-catering-apex,FALSE,4,204,1430 Hwy 55,27523,35.75247676,-78.87661099,$$,19193031006,"italian,catering"
5,Peak City Grill & Bar,peak-city-grill-and-bar-apex,FALSE,3.5,131,126 N Salem St,27502,35.73158597,-78.85069644,$$$,19193038001,"newamerican,seafood,steak"
6,Tyler's Restaurant and Taproom,tylers-restaurant-and-taproom-apex,FALSE,3,147,1479 Beaver Creek Commons Dr,27502,35.74480421,-78.88440099,$$,19193551380,tradamerican
7,Skipper's Fish Fry,skippers-fish-fry-apex,FALSE,4,134,1001 E Williams St,27502,35.72111,-78.84349,$$,19193032400,seafood
8,The Pet Pantry,the-pet-pantry-apex,FALSE,5,25,2521 Schieffelin Rd,27502,35.72339,-78.8295,NA,19193031990,petstore
9,Lucky 32 Southern Kitchen,lucky-32-southern-kitchen-cary,FALSE,4,410,7307 Tryon Rd,27511,35.7365208,-78.78523421,$$,19192331632,"newamerican,southern"
10,Tony's Oyster Bar,tonys-oyster-bar-cary-2,FALSE,3,105,107 Edinburgh Dr,27511,35.7393859,-78.7983155,$$,19194626226,"seafood,cajun,bars"
11,City Barbeque,city-barbeque-cary,FALSE,4,309,1305 Kildaire Farm Rd,27511,35.76100928,-78.78253661,$$,19194395191,bbq
12,West Park Tavern,west-park-tavern-cary,FALSE,3.5,106,2734 Nc 55 Hwy,27519,35.7854222,-78.8709665,$$,19193039300,"tradamerican,sportsbars"
13,Corbett's Burgers and Soda Bar,corbetts-burgers-and-soda-bar-cary,FALSE,4.5,196,126 Kilmayne Dr,27511,35.77044756,-78.78338546,$,19194660055,"hotdog,tradamerican,burgers"
14,Abbey Road Tavern & Grill,abbey-road-tavern-and-grill-cary,FALSE,3.5,162,1195 W Chatham St,27513,35.77071012,-78.80702527,$$,19194814434,"bars,burgers,tradamerican"
15,Totopos,totopos-cary,FALSE,4,277,1388 Kildaire Farm Rd,27511,35.759174,-78.783798,$$,19196783449,mexican
16,Brew N Que,brew-n-que-cary,FALSE,4.5,196,1222 NW Maynard Rd,27513,35.78464391,-78.80945714,$$,19197992023,"southern,bbq"
17,Char Grill,char-grill-cary,FALSE,3.5,26,3635 SW Cary Pkwy,27513,35.7816251,-78.83829002,$,19194617112,"burgers,hotdog"
18,Cin̩Bistro At Waverly Place,cin̩bistro-at-waverly-place-cary-3,FALSE,4.5,116,525 New Waverly Pl,27518,35.73891325,-78.77672465,$$,19199873500,"tradamerican,movietheaters"
19,The Corner Tavern and Grill,the-corner-tavern-and-grill-cary,FALSE,3.5,77,1301 NW Maynard Rd,27513,35.7852854,-78.8101574,$$,19194600088,"tradamerican,bars,moroccan"
20,La Farm Bakery,la-farm-bakery-cary,FALSE,4.5,665,4248 NW Cary Pkwy,27513,35.7904818,-78.8269759,$$,19196570657,"bakeries,french,breakfast_brunch"
1,Taco Bell,taco-bell-wake-forest,FALSE,3,8,2207 S. Main Street,27587,35.946919,-78.536299,$,19195544924,"hotdogs,tex-mex,mexican"
2,Gonza Tacos Y Tequila,gonza-tacos-y-tequila-wake-forest,FALSE,4,98,1851-1889 S Main St,27587,35.9525325,-78.5275968,$$,19192052500,"mexican,bars,latin"
3,Tlaquepaque Mexican Cuisine,tlaquepaque-mexican-cuisine-wake-forest-2,FALSE,4,84,11206 Capital Blvd,27587,35.951672,-78.538906,$$,19195542544,mexican
4,Chubby's Tacos,chubbys-tacos-raleigh-2,FALSE,3.5,82,River Town Center,27614,35.9079596,-78.5886189,$,19198467044,mexican
5,Las Margaritas Mexican Restaurant,las-margaritas-mexican-restaurant-wake-forest,FALSE,4,59,111 S White St,27587,35.97889,-78.50925,$$,19195568319,mexican
6,Moe's Southwest Grill,moes-southwest-grill-raleigh-13,FALSE,3,20,10760-101 Wakefield Commons Dr,27614,35.94263022,-78.54111237,$,19195703222,"mexican,tex-mex"
7,Don Julio Mexican Restaurant,don-julio-mexican-restaurant-wake-forest,FALSE,4,24,12516 Capital Blvd,27587,35.9878736,-78.5330557,$$,19842351537,"mexican,bars"
8,Los Tres Magueyes,los-tres-magueyes-wake-forest,FALSE,3,26,12400 Wake Union Church Rd,27587,35.98314,-78.53908,$,19195542554,mexican
9,Bangkok Thai,bangkok-thai-raleigh,FALSE,4,92,13200 Falls of Neuse Rd,27614,35.94066043,-78.5597248,$$,19195541561,"thai,salad,soup"
10,Mellow Mushroom,mellow-mushroom-wake-forest,FALSE,3.5,59,2125 S Main St,27587,35.94743,-78.5355,$$,19195568884,"pizza,bars,sandwiches"
11,Tropical Picken Chicken,tropical-picken-chicken-wake-forest-2,FALSE,4,174,2010 S Main St,27587,35.94976,-78.53137,$,19194356812,"cuban,puertorican,dominican"
12,Buffalo Brothers,buffalo-brothers-wake-forest,FALSE,3,59,11735 Retail Dr,27587,35.96770618,-78.54343915,$$,19195706004,"tradamerican,burgers,chicken_wings"
13,Shuckers Oyster Bar & Grill,shuckers-oyster-bar-and-grill-wake-forest,FALSE,4,161,3309 Rogers Rd,27587,35.95073,-78.51539,$$,19194531593,"seafood,steak"
14,Smithfield's Chicken N Bar-B-Q,smithfields-chicken-n-bar-b-q-wake-forest,FALSE,3.5,17,12504 Capital Blvd,27587,35.98666,-78.5338211,$,19194888388,bbq
15,Chili's,chilis-wake-forest,FALSE,2.5,18,11380 Capital Blvd,27587,35.95485,-78.53983,$$,19195540488,"tradamerican,tex-mex,bars"
16,On The Border Mexican Grill & Cantina,on-the-border-mexican-grill-and-cantina-raleigh-4,FALSE,3,48,3351 Cypress Plantation Trl,27616,35.87121209,-78.58244395,$$,19198903100,"mexican,tex-mex"
17,Taza Grill,taza-grill-raleigh-4,FALSE,4.5,36,10940 Raven Ridge Rd,27614,35.907679,-78.59016387,$,19198457772,"mediterranean,greek"
18,East Coast Wings & Grill,east-coast-wings-and-grill-wake-forest,FALSE,3,32,12646 Capital Blvd,27587,35.9894054,-78.5311414,$$,19843773294,"chicken_wings,tradamerican"
19,San Jose Mexican Restaurant,san-jose-mexican-restaurant-raleigh,FALSE,3.5,115,5811 Poyner Village Pkwy,27616,35.8638763,-78.570549,$$,19197901919,mexican
20,Gatehouse Tavern,gatehouse-tavern-wake-forest,FALSE,3,70,960 Gateway Commons Cir,27587,35.9686356,-78.4934311,$$,19195696745,"tradamerican,steak,bars"
1,The Remedy Diner,the-remedy-diner-raleigh,FALSE,4,347,137 E Hargett St,27601,35.7783224,-78.6370674,$$,19198353553,"vegetarian,sandwiches"
2,The Fiction Kitchen,the-fiction-kitchen-raleigh,FALSE,4.5,336,428 S Dawson St,27601,35.7745972,-78.6438293,$$,19198314177,"vegan,vegetarian,gluten_free"
3,Sosta Caf̩,sosta-caf̩-raleigh-2,FALSE,4.5,122,130 E Davie St,27601,35.77545336,-78.63762603,$,19198331006,"coffee,sandwiches"
4,Raleigh Times Bar,raleigh-times-bar-raleigh,FALSE,4,481,14 E Hargett St,27601,35.77813888,-78.63862992,$$,19198330999,"bars,tradamerican"
5,Beasley's Chicken & Honey,beasleys-chicken-and-honey-raleigh,FALSE,4,938,237 S Wilmington St,27601,35.77701593,-78.63815873,$$,19193220127,"southern,newamerican"
6,Big Ed's City Market Restaurant,big-eds-city-market-restaurant-raleigh,FALSE,4,292,220 Wolfe St,27601,35.77604,-78.63598,$,19198369909,"breakfast_brunch,comfortfood,soulfood"
7,Jose and Sons,jose-and-sons-raleigh,FALSE,4,313,327 W Davie St,27601,35.77516874,-78.64474231,$$,19197550556,"newamerican,mexican"
8,Centro,centro-raleigh,FALSE,4,246,106 S Wilmington St,27601,35.77926,-78.63844,$$,19198353593,"mexican,breakfast_brunch,gluten_free"
9,Chuck's,chucks-raleigh,FALSE,4,478,237 S Wilmington St,27601,35.77710275,-78.63815388,$$,19193220126,burgers
10,Gravy,gravy-raleigh,FALSE,4,302,135 S Wilmington St,27601,35.77854,-78.63798,$$,19198968513,"italian,newamerican"
11,Humble Pie,humble-pie-raleigh,FALSE,4,220,317 S Harrington St,27603,35.776317,-78.644975,$$,19198299222,"breakfast_brunch,newamerican,bars"
12,The Pit,the-pit-raleigh,FALSE,4,1799,328 W Davie St,27601,35.77605,-78.64472,$$,19198904500,"bbq,tradamerican,soulfood"
13,Caffe Luna,caffe-luna-raleigh-4,FALSE,3.5,164,136 E Hargett St,27601,35.778016,-78.63677,$$,19198326090,italian
14,Irregardless Cafe & Catering,irregardless-cafe-and-catering-raleigh-3,FALSE,4,298,901 W Morgan St,27603,35.78118,-78.65603,$$,19198338898,"newamerican,breakfast_brunch,vegetarian"
15,Five Star Restaurant,five-star-restaurant-raleigh,FALSE,3.5,155,511 W Hargett St,27603,35.77845986,-78.6466055,$$,19198333311,"chinese,bars,diners"
16,State Farmers Market Restaurant,state-farmers-market-restaurant-raleigh,FALSE,3.5,181,1240 Farmers Market Dr,27603,35.7626589,-78.663656,$,19197551550,"southern,breakfast_brunch,sandwiches"
17,David's Dumpling & Noodle Bar,davids-dumpling-and-noodle-bar-raleigh,FALSE,4,375,1900 Hillsborough St,27607,35.78585154,-78.66142563,$$,19192394536,noodles
18,Busy Bee Cafe,busy-bee-cafe-raleigh-3,FALSE,3.5,313,225-100 S Wilmington St,27601,35.77741833,-78.63801241,$$,19194247817,"newamerican,bars"
19,P.G. Werth's,p-g-werths-raleigh-2,FALSE,4,81,927 W Morgan St,27603,35.78211,-78.65555,$$,19842320415,"newamerican,cafes,gourmet"
20,Jimmy V's Osteria & Bar,jimmy-vs-osteria-and-bar-raleigh,FALSE,3.5,151,420 Fayetteville St,27601,35.77477801,-78.63954291,$$,19192561451,"bars,tradamerican,italian"
1,McLean's Ole Time Cafe,mcleans-ole-time-cafe-zebulon,FALSE,4,37,418 W Gannon Ave,27597,35.82237,-78.32321,$$,19192690125,"breakfast_brunch,tradamerican"
2,Waffle House,waffle-house-zebulon-2,FALSE,3.5,5,102 Pearces Rd,27597,35.83922,-78.32386,$,19194044600,"breakfast_brunch,newamerican,waffles"
3,Whitley Furniture Galleries,whitley-furniture-galleries-zebulon,FALSE,3.5,11,101 W Vance St,27597,35.82088,-78.31278,$$$$,19192697447,"furniture,mattresses"
4,Fargo Steakhouse,fargo-steakhouse-zebulon,FALSE,2.5,10,Food Lion Shopping Ctr,27597,35.8243208,-78.3147199,$$,19192693450,steak
5,Pizza Hut,pizza-hut-zebulon,FALSE,2.5,8,151 Wakelon St,27597,35.83347,-78.31572,$$,19192696455,"pizza,italian,chicken_wings"
6,Aubreys and Peedies Grill,aubreys-and-peedies-grill-wendell-2,FALSE,4.5,10,38 N Main St,27591,35.7823559,-78.3696337,$,19193655528,"hotdogs,burgers,tradamerican"
1,Bittersweet,bittersweet-raleigh,FALSE,4,150,16 E Martin St,27601,35.7768988,-78.63860735,$$,19199773829,"coffee,bakeries,cocktailbars"
2,Taste Carolina Gourmet Food Tours,taste-carolina-gourmet-food-tours-raleigh,FALSE,4.5,86,NA,27601,35.77742,-78.63328,$$,19192372254,foodtours
3,Brixx Wood Fired Pizza,brixx-wood-fired-pizza-raleigh-2,FALSE,3.5,29,402 Oberlin Rd,27605,35.78977,-78.66237,$$,19197239370,pizza
4,Starbucks,starbucks-raleigh-8,FALSE,4,36,609 W Peace St,27605,35.78836,-78.64796,$$,19197549007,coffee
5,Baskin Robbins,baskin-robbins-raleigh-4,FALSE,3.5,8,2018 Cameron St,27605,35.7910333,-78.6609388,$,19198281493,icecream
6,Starbucks,starbucks-raleigh-41,FALSE,2,24,500 Fayetteville St Mall,27601,35.77359,-78.63997,$$,19193349894,coffee
7,Wicked Taco Raleigh,wicked-taco-raleigh-raleigh,FALSE,3,127,3928 Western Blvd,27606,35.7844231,-78.6929553,$,19193220446,mexican
8,Tasca Brava,tasca-brava-raleigh-2,FALSE,3.5,142,607 Glenwood Ave,27603,35.78779,-78.64757,$$$,19198280840,"spanish,tapas,latin"
9,Dunkin Donuts & Baskin Robbins,dunkin-donuts-and-baskin-robbins-raleigh,FALSE,2.5,4,2316 Hillsborough St,27607,35.7877007,-78.6666489,NA,19198385277,"donuts,icecream"
10,ORO Restaurant & Lounge,oro-restaurant-and-lounge-raleigh,FALSE,4,182,18 E Martin St,27601,35.77688183,-78.638474,$$,19192394010,"tapasmallplates,newamerican,lounges"
11,J Betski's,j-betskis-raleigh,FALSE,4.5,247,10 W Franklin St,27604,35.78929854,-78.6403729,$$,19198337999,"german,polish"
12,Sosta Caf̩,sosta-caf̩-raleigh-2,FALSE,4.5,122,130 E Davie St,27601,35.77545336,-78.63762603,$,19198331006,"coffee,sandwiches"
13,Starbucks,starbucks-raleigh-22,FALSE,3.5,21,3800 Lake Boone Trl,27607,35.81617,-78.69378,$$,19197816211,coffee
14,Starbucks,starbucks-raleigh-18,FALSE,4.5,25,4421 Six Forks Rd,27609,35.84001,-78.64328,$,19195710713,coffee
15,Bloomsbury Bistro,bloomsbury-bistro-raleigh,FALSE,4,50,509 W Whitaker Mill Rd,27608,35.8039894,-78.6447372,$$$,19198349011,newamerican
16,Baskin Robbins,baskin-robbins-raleigh-3,FALSE,5,1,2727 Capital Blvd,27604,35.8168488,-78.601799,$,19198759092,icecream
17,Starbucks,starbucks-raleigh-20,FALSE,3,21,3023 Capital Blvd,27604,35.8215408,-78.5917664,$,19198758760,coffee
18,Starbucks,starbucks-raleigh-25,FALSE,3.5,6,4160 Main At N Hillsst,27609,35.8368683,-78.6432877,$$,19194200514,coffee
19,Trophy Brewing Company,trophy-brewing-company-raleigh,FALSE,4,312,827 W Morgan St,27603,35.779747,-78.6535339,$$,19198034849,"bars,breweries,pizza"
20,Starbucks,starbucks-raleigh-6,FALSE,3.5,22,4421 New Bern Ave,27610,35.7989197,-78.5607529,$$,19192313271,coffee
1,Chick-fil-A,chick-fil-a-raleigh-12,FALSE,3.5,20,8901 Brier Creek Pkwy,27617,35.90103,-78.790525,$,19192930100,hotdogs
2,Chick-fil-A,chick-fil-a-cary,FALSE,4,28,1803 N Harrison Ave,27513,35.829251,-78.769784,$,19196781444,hotdogs
3,Chick-fil-A,chick-fil-a-raleigh-10,FALSE,4,28,6612 Glenwood Ave,27612,35.861142,-78.708701,$,19195718480,hotdogs
4,Bojangles,bojangles-morrisville-2,FALSE,3.5,19,1000 Claren Cir,27560,35.8557281,-78.8237305,$,19194607171,hotdogs
5,Tasu,tasu-raleigh,FALSE,3.5,300,8919 Brier Creek Pkwy,27617,35.90087033,-78.79119873,$$,19195448474,"sushi,japanese,asianfusion"
6,Greek Fiesta at Brier Creek,greek-fiesta-at-brier-creek-raleigh-3,FALSE,3.5,70,8521 Brier Creek Pkwy,27617,35.905436,-78.7845693,$,19195443388,"greek,mediterranean"
7,McDonald's,mcdonalds-cary-5,FALSE,2,21,1805 N Harrison Ave,27513,35.82978,-78.76918,$,19196771424,"hotdogs,burgers"
8,Chick-fil-A,chick-fil-a-cary-9,FALSE,3,12,7107 Okelly Chapel Rd,27519,35.84533859,-78.88731222,$,19194669525,hotdogs
9,Backyard Burger,backyard-burger-raleigh,FALSE,3.5,43,9860 Leesville Rd,27613,35.9082108,-78.7282181,$,19198477098,burgers
10,Hardee's,hardees-durham-3,FALSE,2,8,4607 S Alston Ave,27713,35.90028,-78.88845,$,19195445362,hotdogs
11,Herons,herons-cary-2,FALSE,4,117,The Umstead Hotel And Spa,27513,35.8298528,-78.76443028,$$$$,19194474200,"newamerican,breakfast_brunch"
12,Raleigh-Durham International Airport - RDU,raleigh-durham-international-airport-rdu-morrisville-3,FALSE,4,494,2400 John Brantley Blvd,27560,35.87701943,-78.78931046,NA,19198407700,airports
13,World Of Beer,world-of-beer-cary-2,FALSE,3,40,2036 Renaissance Park Pl,27513,35.8268533,-78.7716853,$$,19192340088,"pubs,tradamerican"
14,Tossed,tossed-morrisville,FALSE,3,64,4117 Davis Dr,27560,35.835898,-78.85838951,$$,19194604449,"newamerican,salad"
15,Steak 'N Shake,steak-n-shake-raleigh-2,FALSE,2,35,5900 Duraleigh Rd,27612,35.85809468,-78.71241663,$,19198097524,"newamerican,breakfast_brunch,burgers"
16,Pump It Up,pump-it-up-raleigh,FALSE,4,9,10700 World Trade Blvd,27617,35.89838,-78.81441,NA,19198283344,eventplanning
17,PNC Bank,pnc-bank-raleigh-2,FALSE,5,1,10321 Lumley Rd,27617,35.8987694,-78.78965,NA,19194844760,banks
18,Walmart Supercenter,walmart-supercenter-raleigh,FALSE,2,25,10050 Glenwood Ave,27617,35.91252141,-78.77806473,$,19195965790,"deptstores,grocery"
19,Noodles & Company,noodles-and-company-cary-5,FALSE,3,10,7199 O'Kelly Chapel Rd,27519,35.84798278,-78.88915894,$,NA,noodles
20,Hoops City U,hoops-city-u-durham,FALSE,1.5,3,4300 Emperor Blvd,27703,35.873238,-78.844725,NA,19194742400,summer_camps
1,Goji Bistro,goji-bistro-cary,FALSE,4.5,81,100 Maynard Crossing Ct,27513,35.7867203,-78.8106003,$$,19194668888,"asianfusion,gluten_free,bars"
2,Banana Leaf,banana-leaf-cary,FALSE,4,154,1026 Ryan Rd,27511,35.77662901,-78.76772329,$$,19194689958,"cantonese,asianfusion,szechuan"
3,Sushi Thai Cary,sushi-thai-cary-cary,FALSE,4,215,106 Kilmayne Dr,27511,35.77049,-78.78304,$$,19194675747,"sushi,thai"
4,C&T Wok,c-and-t-wok-morrisville,FALSE,4,369,130 Morrisville Sq Way,27560,35.8199044,-78.8290908,$$,19194678860,"chinese,thai"
5,Golden China,golden-china-cary-2,FALSE,4,11,2432 SW Cary Pkwy,27513,35.763159,-78.822239,$,19193807895,chinese
6,Super Wok,super-wok-cary,FALSE,3.5,123,Chatham Square,27511,35.78998,-78.76427,$$,19193888338,chinese
7,East Garden,east-garden-cary-2,FALSE,3.5,28,1104 Ledsome Lane,27511,35.7632857,-78.7478499,$$,19193225558,cantonese
8,Panda Express,panda-express-apex,FALSE,3,17,1000 Beaver Creek Commons Dr,27502,35.7451897,-78.8731689,$,19193626369,"chinese,hotdogs"
9,Asian Garden,asian-garden-cary,FALSE,4,36,242 Grande Heights Dr,27513,35.8048434,-78.78059,$,19194628598,"asianfusion,chinese"
10,Taste Vietnamese Cuisine,taste-vietnamese-cuisine-morrisville,FALSE,4,258,152 Morrisville Sq Way,27560,35.81944871,-78.82902861,$,19192346385,"vietnamese,asianfusion"
11,YoHo Asian Bistro,yoho-asian-bistro-cary,FALSE,3,111,8204 Tryon Woods Dr,27518,35.74669198,-78.74132347,$$,19198598081,"chinese,asianfusion,sushi"
12,Lucky Chicken Peruvian Cuisine,lucky-chicken-peruvian-cuisine-cary,FALSE,3,25,1851 N Harrison Ave,27513,35.83108826,-78.76985464,$$,19196783153,peruvian
1,Aubreys and Peedies Grill,aubreys-and-peedies-grill-wendell-2,FALSE,4.5,10,38 N Main St,27591,35.7823559,-78.3696337,$,19193655528,"hotdogs,burgers,tradamerican"
2,Granite Falls Swim & Athletic Club,granite-falls-swim-and-athletic-club-rolesville,FALSE,3.5,11,800 Granite Falls Blvd,27571,35.92725,-78.46475,NA,19195628895,"gyms,swimmingpools"
3,Iveys Towing,iveys-towing-garner,FALSE,3.5,5,3737 Conquest Dr,27529,35.7288208,-78.5708313,NA,19196620249,towing
4,Sammy's Tap & Grill,sammys-tap-and-grill-raleigh,FALSE,2.5,85,2235 Avent Ferry Rd,27606,35.77748,-78.67799,$$,19197553880,"sportsbars,tradamerican"
5,Massage Envy - Crabtree Valley,massage-envy-crabtree-valley-raleigh-2,FALSE,4,20,3201 Edwards Mill Road,27612,35.8259053,-78.7073374,$$,19197871114,"massage,skincare,spas"
6,Men's Club,mens-club-raleigh,FALSE,2.5,16,3210 Yonkers Rd,27604,35.79782,-78.58928,$$,19192509826,adultentertainment
1,Chai's Asian Bistro,chais-asian-bistro-raleigh,FALSE,3.5,65,8347 Creedmoor Rd,27613,35.9013023,-78.681282,$$,19193413715,asianfusion
2,Harris Teeter,harris-teeter-raleigh-12,FALSE,4,14,Stonehenge Market,27612,35.88798,-78.67836,$$,19198481464,"grocery,drugstores"
3,Kroger,kroger-raleigh-3,FALSE,3,12,6300 Creedmoor Rd,27612,35.8718605,-78.6783371,$$,19198706028,grocery
4,Kroger,kroger-raleigh-5,FALSE,4,2,8345 Creedmoor Rd,27613,35.90105,-78.68223,$$,19198482232,"deptstores,grocery"
5,Kroger,kroger-raleigh,FALSE,3.5,7,7905 Falls of Neuse Rd,27615,35.8929199,-78.62703,$$,19198475012,grocery
6,Lowes Foods,lowes-foods-raleigh,FALSE,3.5,11,9600 Strickland Rd,27615,35.9027699,-78.65568,$$,19198475661,"grocery,beer_and_wine,chicken_wings"
7,Whole Foods Market North Raleigh,whole-foods-market-north-raleigh-raleigh,FALSE,4,76,8710 Six Forks Rd,27615,35.89803,-78.65057,$$,19193540350,"grocery,beer_and_wine,healthmarkets"
8,FastMed Urgent Care,fastmed-urgent-care-raleigh,FALSE,2,26,6500 Creedmoor Road,27613,35.8743896,-78.6788712,NA,19198254000,"physicians,urgent_care"
9,Kroger Pharmacy,kroger-pharmacy-raleigh-6,FALSE,5,1,8345 Creedmoor Rd,27613,35.90105,-78.68223,$$,19198484191,drugstores
10,Despina's Cafe,despinas-cafe-raleigh,FALSE,4.5,62,8369 Creedmoor Rd,27613,35.9015464,-78.6813026,$,19198485007,"coffee,sandwiches,soup"
11,Hibernian Restaurant & Pub,hibernian-restaurant-and-pub-raleigh-2,FALSE,3,78,8021 Falls of Neuse Rd,27615,35.894044,-78.624527,$$,19198030290,"irish,pubs"
12,Chopstix Gourmet and Sushi Bar,chopstix-gourmet-and-sushi-bar-raleigh-2,FALSE,3.5,113,5607 Creedmoor Rd,27612,35.85792794,-78.68201505,$$,19197816268,"chinese,sushi,asianfusion"
13,Kroger,kroger-raleigh-4,FALSE,3.5,23,350 E Six Forks Rd,27609,35.81975,-78.62802,$$,19198322110,grocery
14,Citizen Pops,citizen-pops-raleigh-2,FALSE,4,67,,27612,35.853279,-78.687299,$,19198484221,"icecream,desserts,foodtrucks"
15,Food Lion,food-lion-raleigh-5,FALSE,4,4,7713 Lead Mine Rd,27615,35.8869,-78.65973,$$,19195181607,"delis,grocery"
16,Crazy Fire Mongolian Grill,crazy-fire-mongolian-grill-raleigh-3,FALSE,3,31,13200 Strickland Rd,27613,35.90687,-78.72548,$$,19198661300,"sushi,mongolian"
17,MassageLuXe,massageluxe-raleigh,FALSE,4,24,7436 Creedmoor Rd,27613,35.8883434,-78.6794774,$$,19192495244,"massage_therapy,reflexology,skincare"
18,Harris Teeter,harris-teeter-raleigh-6,FALSE,4,20,9600 Falls of Neuse Rd,27615,35.90486927,-78.60105358,$$,19196766614,"grocery,drugstores,flowers"
19,Food Lion,food-lion-raleigh-17,FALSE,3.5,11,4827 Grove Barton Rd,27613,35.8714943,-78.7183151,$$,19197814437,grocery
20,The Butcher's Market,the-butchers-market-raleigh,FALSE,4.5,60,5045 Falls of Neuse Rd,27609,35.8503443,-78.6146822,$$,19198098914,"butcher,grocery"
1,Moe's Southwest Grill,moes-southwest-grill-fuquay-varina,FALSE,2.5,12,1410 East Broad St,27526,35.59428,-78.77525,$,19195575507,"mexican,tex-mex"
2,Taco Bell,taco-bell-fuquay-varina,FALSE,3.5,3,1384 North Main Street,27526,35.591688,-78.786661,$$,19195575283,"mexican,tex-mex,hotdogs"
3,Fiesta Mexicana,fiesta-mexicana-holly-springs,FALSE,3.5,70,428 Village Walk Dr,27540,35.639816,-78.8375547,$$,19193461330,mexican
4,Aviator Smokehouse,aviator-smokehouse-fuquay-varina,FALSE,3.5,224,525 E Broad St,27526,35.593076,-78.793817,$$,19195577675,"tradamerican,bbq,sportsbars"
5,Los Tres Magueyes,los-tres-magueyes-holly-springs,FALSE,3,34,120 Bass Lake Rd,27540,35.6542702,-78.8240356,$,19195526272,mexican
