OBJECTID,HSISID,Score,Date,Description,Type
1063,04092015293,92.5,2013-06-20T00:00:00.000Z,"NOTE: Dishwasher was not hooked up to an empty sanitizer bucket. Operator stated this machine is not currently being used. Do not use this dishwasher until sanitizer bucket is replaced and sanitizer is coming out into wash machine compartment...Verification to be done on Item #34 (requirement for metal stemmed thermometer) by June 21, 2013...NC FOOD CODE MANUAL:  To learn more about the new food establishment regulations that went into effect on September 1, 2012, download a copy of the North Carolina Food Code Manual at www.wakegov.com/food (click on ""New Food Rules"" link).  Other guidance and educational materials are also available at this link.
Follow-Up: 06/21/2013",Inspection
1064,04092015915,97,2013-11-20T00:00:00.000Z,,Inspection
1065,04092015915,92,2014-05-27T00:00:00.000Z,,Inspection
1066,04092015915,91,2015-01-13T00:00:00.000Z,Follow-Up: 01/23/2015,Inspection
1067,04092440324,91,2015-08-13T00:00:00.000Z,"REMINDER ABOUT STORAGE OF CHEMICALS, SANITIZERS AND CLEANERS WHEN CHILDREN ARE PRESENT: In many classrooms where students would have access, ensure hand sanitizers, cleaners, disinfectants, aerosol sprays, chlorox wipes, paints and other chemicals are used as directed on their labels and stored to avoid health hazards. All of these items are marked ""keep out of reach of children"" and many have other health warnings. Keep these items near or inside teachers' desks and under teachers' direct supervision and control OR in closed or locked cabinets...OBSERVATIONS OF PLAYGROUND FLOORING: In two of the playgrounds, observed flooring with wide gaps between squares/tiles and loose/peeling artificial turf. This damaged flooring can be trip hazards to young children and should be repaired.",Inspection
1068,04092140569,98,2015-04-28T00:00:00.000Z,,Inspection
1069,04092140569,98,2015-10-12T00:00:00.000Z,NOTE: Consider dispensing pickles inside the concession stand or provide a self-closing lid on pickle container if self-dispensing by customers.,Inspection
1070,04092016400,96,2013-04-23T00:00:00.000Z,,Inspection
1071,04092016400,95.5,2013-08-27T00:00:00.000Z,,Inspection
1072,04092016400,93.5,2014-01-15T00:00:00.000Z,Follow-Up: 01/28/2014,Inspection
1073,04092016560,94,2014-06-09T00:00:00.000Z,"Verification follow-up for Item #46 (provision of chlorine sanitizer test strips). By June 19, 2014, submit copy or photo of invoice showing strips have been obtained or purchased to Lucy.Schrum@wakegov.com  or fax to Lucy Schrum at 919-856-5276.
Follow-Up: 06/19/2014",Inspection
1074,04092016560,97,2013-12-23T00:00:00.000Z,"NC FOOD CODE MANUAL:  To learn more about the new food establishment regulations that went into effect on September 1, 2012, download a copy of the North Carolina Food Code Manual at www.wakegov.com/food (click on ""New Food Rules"" link).  Other guidance and educational materials are also available at this link.",Inspection
1075,04092016287,94,2013-09-19T00:00:00.000Z,Follow-Up: 09/30/2013,Inspection
1076,04092015099,96.5,2015-09-23T00:00:00.000Z,"for more information, go to www.wakegov.com/food",Inspection
1077,04092015099,93.5,2016-04-07T00:00:00.000Z,"for more information, go to www.wakegov.com/food",Inspection
1078,04092015464,95,2013-01-30T00:00:00.000Z,,Inspection
1079,04092015464,97,2016-02-04T00:00:00.000Z,,Inspection
1080,04092015911,97.5,2012-12-13T00:00:00.000Z,"new rules information, go to www.wakegov.com/food",Inspection
1081,04092015911,99,2013-04-16T00:00:00.000Z,"new rules information, go to www.wakegov.com/food",Inspection
1082,04092015911,99,2013-10-24T00:00:00.000Z,,Inspection
1083,04092015911,96,2014-04-04T00:00:00.000Z,,Inspection
1084,04092015911,97.5,2014-10-16T00:00:00.000Z,"PIC had a photo copied certificate that was accepted during inspection, but the original certificate or the tear off card attached to the certificate should be brought in for next inspection. Points will be deducted if original is not on site during next inspection.<br>During inspection, ham was observed being thawed under running water, which is an approved thawing method, however the water being used was 74F. When thawing under running water, the water temperature should be no more than 70F. During warmer months, be aware of the cold water temperature and pull foods from the freezer with enough time than they can been thawed under refrigeration.",Inspection
1085,04092015911,96.5,2015-04-15T00:00:00.000Z,"Found one squirt bottle of oil that wasn't labeled. All foods and food ingredients that are not readily and unmistakably recognized, such as dry pasta or beans, must be labeled with common name of food. This is especially important with foods such as cooking oils, flour, herbs, salt, spices, and sugar.<br>Shut-off observed on hose attached to a hose bib with an atmospheric vacuum breaker with the water left on. These mushroom-shaped backflow preventers located at the faucet of a hose bib are not approved for installation with any shut-offs downstream from preventer when under constant pressure. Remove spray guns, valved splitters, or any other shut offs downstream from backflow preventer and/or make sure to turn water off and relieve pressure when sinks are not in use. If such an attachment is necessary at the hose bib or the water must be left on for extended periods of time, contact a plumber for advice on installing an approved backflow preventer. The water at the sink was turned off and pressure was released during inspection.",Inspection
1086,04092015911,97.5,2015-11-20T00:00:00.000Z,"When cleaning the can opener, make sure to remove the blade assembly and wash it separately so that all parts are properly cleaned and sanitized.",Inspection
1087,04092015911,97,2016-04-21T00:00:00.000Z,,Inspection
1088,04092015916,96.5,2013-10-08T00:00:00.000Z,"new rules information, go to www.wakegov.com/food",Inspection
1089,04092015916,98,2014-02-24T00:00:00.000Z,"for more rules and other information, go to www.wakegov.com/food",Inspection
1090,04092015916,98,2013-02-28T00:00:00.000Z,,Inspection
1091,04092015916,97.5,2014-08-14T00:00:00.000Z,"for more information, go to www.wakegov.com/food",Inspection
1092,04092015916,95.5,2015-04-27T00:00:00.000Z,"for more information, go to www.wakegov.com/food",Inspection
1093,04092021525,100,2012-12-10T00:00:00.000Z,,Inspection
1094,04092021525,99.5,2013-08-16T00:00:00.000Z,,Inspection
1095,04092021525,95,2014-03-20T00:00:00.000Z,,Inspection
1096,04092021525,96.5,2014-11-20T00:00:00.000Z,,Inspection
1097,04092300263,98,2013-09-27T00:00:00.000Z,,Inspection
1098,04092300263,97.5,2014-03-06T00:00:00.000Z,,Inspection
1099,04092300263,93.5,2014-10-23T00:00:00.000Z,,Inspection
1100,04092300263,96.5,2015-01-26T00:00:00.000Z,,Inspection
1101,04092300263,92,2015-04-30T00:00:00.000Z,,Inspection
1102,04092300263,90,2015-10-15T00:00:00.000Z,"I will follow up next Thursday  (10/22/2015).... Rearrange the refrigerator so raw meat or raw shell eggs are not above cooked food, vegetables and not above anything that can be eaten without cooking.....Change location of cleaners or relocate clean pans etc so they are not under toxic cleaners. The cleaning solution could be on the bottom shelf.....Thoroughly clean the meat saw....The meat pies or anything in the cold case that requires refrigeration must be moved to another refrigerated case that can maintain the product at 41 degrees if possible but 45 degrees would be acceptable. 
Follow-Up: 10/22/2015",Inspection
1103,04092300263,92.5,2016-04-14T00:00:00.000Z,,Inspection
1104,04092300263,92,2016-08-16T00:00:00.000Z,"During inspection, discussed consumer advisory requirements with manager. He stated that customers will very seldom ask for meats to be under cooked but that if it is requested, they serve meat undercooked. Serving any cooked to order meats that are not fully cooked to the final cook temperature for the species of meat requires a consumer advisory which currently is not in place at this facility. Items under consumer advisory must be marked with an asterisk(*), also a disclosure stating that the item(s) marked with * indicate that the item is served cooked to order, raw, or undercooked. A reminder is also required that states that consuming undercooked meat, poultry, seafood, eggs, etc may increase risk of foodborne illness. If this facility chooses to fully cook all meats, a consumer advisory is not required.",Inspection
1105,04092015899,97.5,2013-01-07T00:00:00.000Z,,Inspection
1106,04092016551,90,2014-03-24T00:00:00.000Z,"WALKED TRANSITIONAL LIST WITH RICHARD AND ASHLEY, #12, #17, #18, #23, #25, #27 (DOOR NEEDS TO HAVE AREAS FINISHED, STAINED, PAINTED ETC OR REPLACE DOOR, REPAIR IS NOT CORRECT TODAY) #38, #39, #40 & 42 STILL LEFT OT BE COMPLETED; HOLE IN TWO DOOR BEVERAGE AIR BOTTOM LEFT SIDE...UNIT WILL HAVE TO BE REPLACED BUT WILL NOT AFFECT TRANSITIONAL PERMIT.",Inspection
1107,04092016551,93,2014-06-09T00:00:00.000Z,TRANSITIONAL COMPLETED,Re-Inspection
1108,04092021477,95,2014-09-11T00:00:00.000Z,"for more information, go to www.wakegov.com/food",Inspection
1109,04092021477,95,2015-10-12T00:00:00.000Z,"for more information, go to www.wakegov.com/food",Inspection
1110,04092021477,92,2016-04-07T00:00:00.000Z,"for more information, go to www.wakegov.com/food",Inspection
1111,04092016461,94.5,2013-10-11T00:00:00.000Z,CONTINUE WITH TRANSITIONAL DUE COMPLETED JAN 29 2014,Inspection
1112,04092016461,95.5,2014-02-28T00:00:00.000Z,,Inspection
1113,04092017042,97,2016-07-19T00:00:00.000Z,,Inspection
1114,04092014842,93.5,2016-08-30T00:00:00.000Z,,Inspection
1115,04092014555,98,2013-10-11T00:00:00.000Z,,Inspection
1116,04092015402,96,2013-03-21T00:00:00.000Z,"The hot water in the restrooms is reaching up to 136F. This is not a violation of NC Food Code but could be a scalding/burn hazard, recommend adjusting hot water and/or installing temperating devices on the sinks.",Inspection
1117,04092021474,94.5,2014-03-10T00:00:00.000Z,"new rules information, go to www.wakegov.com/food
Follow-Up: 03/19/2014",Inspection
1118,04092014977,99.5,2013-08-28T00:00:00.000Z,,Inspection
1119,04092014977,97.5,2013-11-25T00:00:00.000Z,"I'll follow up on the hand sinks on Thursday December 5 or sooner if you call 919-868-9244.
Follow-Up: 12/05/2013",Inspection
1120,04092014977,99,2014-07-16T00:00:00.000Z,,Inspection
1121,04092014977,98,2015-02-04T00:00:00.000Z,,Inspection
1122,04092014977,99,2015-08-28T00:00:00.000Z,,Inspection
1123,04092014977,99,2016-04-20T00:00:00.000Z,,Inspection
1124,04092300232,95,2014-06-08T00:00:00.000Z,,Inspection
1125,04092016747,93,2014-09-25T00:00:00.000Z,"CONTINUE WITH TRANSITIONAL REQUIREMENTS DUE COMPLETED BY MARCH 10, 2015",Inspection
1126,04092016747,96,2015-02-26T00:00:00.000Z,TRANSITIONAL COMPLETED,Inspection
1127,04092015899,100,2016-04-14T00:00:00.000Z,,Inspection
1128,04092021477,98,2013-03-05T00:00:00.000Z,"Go to www.wakegov.com/food for updates and information.
The NC Food Code can also be accessed at http://ehs.ncpublichealth.com/index.htm

Chris Salter (919)868-2562",Inspection
1129,04092021477,95.5,2013-05-09T00:00:00.000Z,Go to www.wakegov.com/food for updates and information.,Inspection
1130,04092021477,98,2013-09-10T00:00:00.000Z,Go to www.wakegov.com/food for updates and information.,Inspection
1131,04092014919,96.5,2013-01-18T00:00:00.000Z,,Inspection
1132,04092014919,96.5,2013-05-24T00:00:00.000Z,,Inspection
1133,04092014726,96.5,2013-02-14T00:00:00.000Z,Be sure to have proper hand washing discussions with employees on a regular basis.,Inspection
1134,04092014799,98,2013-06-11T00:00:00.000Z,,Inspection
1135,04092014799,91.5,2015-10-28T00:00:00.000Z,"Please note:  Warewashing machine has been removed.  Replacement of warewashing machine may be required if establishment volume is such that dishes cannot be manually washed, rinsed, and sanitized in sufficient volume.  No evidence that this is the case at time of this inspection. ... Clearly disused can of chili sauce used as doorstop appears to be swelling.  Discarded as a precaution.  Thank you.",Inspection
1136,04092016083,97,2012-10-05T00:00:00.000Z,,Inspection
1137,04092016083,94,2013-03-19T00:00:00.000Z,,Inspection
1138,04092016083,93.5,2016-09-20T00:00:00.000Z,,Inspection
1139,04092015942,93,2012-11-19T00:00:00.000Z,"Container being used for the bean sprouts is not clean and is not an approved food container. Replace.  .  .  .
When an employee is handling food and the task is interupted (goes to the walk-in cooler, etc) he shall wash his hands before returning to handle food, cutting vegetables. Employee was observed wiping his hands on his clothing instead of washing his hands. Encourage frequent, proper handwashing.",Inspection
1140,04092015942,93,2013-05-06T00:00:00.000Z,,Inspection
1141,04092015942,92,2014-03-06T00:00:00.000Z,"Green scrub pad located at handwash sink behind faucet handles such that an employees hands would be contaminated when trying to turn off water.  Do not store the scrub pad at this location. 
Ownership information posted on ABC permit is not consistent with what is in the records of this office.  General manager explained via telephone that planned ownership change in 2011 did not go through, after new permit was issued.  Contact Thomas Jumalon at 919-868-9254 immediately to correct records.  Failure to do this could result in permit action, including issuance of Intent to Suspend.
Follow-Up: 03/14/2014",Inspection
1142,04092015942,94,2014-09-22T00:00:00.000Z,,Inspection
1143,04092015942,94.5,2015-04-28T00:00:00.000Z,"Good TPHC and parasite destruction documentation at sushi area.  Thank you for your efforts in this area. 
One handwash sink observed to have stainless steel scrubber in it. If this is used to clean this sink, remove from sink when done.  Do not use handwash sinks for anything other than handwashing. 
Three cans of hoisin sauce observed to have rim dents, but no conclusive sign that integrity of packaging was compromised.  Removed from shelf and marked as not for use while awaiting return to vendor as a precaution.  Thank you.
Follow-Up: 05/08/2015",Inspection
1144,04092015942,97.5,2015-10-26T00:00:00.000Z,,Inspection
1145,04092021746,96,2013-09-03T00:00:00.000Z,"Please note:  Cooler cited on #45 contains numerous commercially packaged products that are outside of the scope of this inspection.  These foods may or may not require consistant temperatures of 41 degrees F or below for food safety.  Recommend that management consult immediately with suppliers, manufacturers, or home office/store policies for additional guidance on how to properly handle these foods.  A best practice would be to ensure that these items are moved to properly working refrigeration while consulting with policies/suppliers/etc.",Inspection
1146,04092021746,97.5,2014-07-30T00:00:00.000Z,Follow-Up: 08/06/2014,Inspection
1147,04092021746,99.5,2015-07-24T00:00:00.000Z,,Inspection
1148,04092021746,100,2016-02-24T00:00:00.000Z,,Inspection
1149,04092021403,99.5,2012-11-19T00:00:00.000Z,,Inspection
1150,04092021403,100,2013-04-01T00:00:00.000Z,,Inspection
1151,04092014558,97,2013-01-18T00:00:00.000Z,Follow-Up: 01/23/2013,Inspection
1152,04092014558,93,2013-10-17T00:00:00.000Z,,Inspection
1153,04092015101,90.5,2016-02-23T00:00:00.000Z,,Inspection
1154,04092015464,95,2013-10-29T00:00:00.000Z,,Inspection
1155,04092015464,96.5,2014-04-28T00:00:00.000Z,Follow-Up: 05/09/2014,Inspection
1156,04092015464,93,2015-01-23T00:00:00.000Z,Follow-Up: 02/02/2015,Inspection
1157,04092015464,95,2016-07-12T00:00:00.000Z,,Inspection
1158,04092015411,93.5,2013-03-05T00:00:00.000Z,"Ice bath for egg near grill should be as high as the food so that containers of food are nearly submerged in ice water. Egg mixture is already 45'F and there is a lot remaining.  .  .  . 
Handwashing sink should be provided in the produce, salad bar prep room.",Inspection
1159,04092015411,96,2014-08-07T00:00:00.000Z,"Establishment observed to be partially cooking chicken.  Animal products must be cooked by a continuous process unless otherwise approved.  CDI by completing cooking process.  If you wish to pursue a non-continuous cooking process, contact your inspector, James Smith, at 919-868-9246 for more details.",Inspection
1160,04092015411,98.5,2015-01-29T00:00:00.000Z,"Educational note:  Cleaning chemical spray bottle observed to be relabeled and reused for another chemical.  While this is not prohibited by Food Code, it is strongly recommended that this not be done.  Please note that Food Code DOES prohibit the reuse of any other chemical spray bottles for sanitizer.  Educational note:  Recommend reversing the flow of dishes at the three compartment sink so that clean dishes from the sink and clean dishes from the dish machine land at the same place.  Relabel the sinks and either move the soap and sanitizer dispensers or get longer dispensing tubes that can reach the reversed sinks.",Inspection
1161,04092015411,95.5,2015-08-13T00:00:00.000Z,"Establishment has signed apples and pears with a recommendation to wash before eating in lieu of individually wrapping.  In this setting, individual wrapping or food shields are more appropriate.  Open top carafes of milk and half & half in grab and go cooler are shielded by equipment shelf, but would be uncovered during use.  Use containers with lids. ...  Recommend a sign at grab and go cooler containing parfaits suggesting that customers speak with your staff if they have questions about ingredients or allergens.
Follow-Up: 08/20/2015",Inspection
1162,04092015915,96.5,2013-02-14T00:00:00.000Z,,Inspection
1163,04092015915,94,2015-09-17T00:00:00.000Z,,Inspection
1164,04092015915,97,2016-05-26T00:00:00.000Z,,Inspection
1165,04092015938,97.5,2013-04-30T00:00:00.000Z,"Note:  PIC has expressed interest in having this location reclassified as Category 1 (one inspection per year) based on limited menu and lack of food preparation.  Provide a letter requesting the category change, along with a statement from management that no food preparation will be done and that only pre-packaged foods (from food processing plants, as opposed to other permitted restaurants) will be provided to guests.  Questions and draft language of request can be emailed to James Smith at jamesrsmith@wakegov.com .  Final request must be notified and submitted to Environmental Services office.  Please note that reclassifications are typically done only in July, so request should be made prior to that time.",Inspection
1166,04092110463,99.5,2013-08-21T00:00:00.000Z,,Inspection
1167,04092110463,97.5,2014-01-23T00:00:00.000Z,,Inspection
1168,04092110463,96.5,2014-06-16T00:00:00.000Z,,Inspection
1169,04092110463,98.5,2014-09-09T00:00:00.000Z,,Inspection
1170,04092110463,99.5,2015-01-09T00:00:00.000Z,,Inspection
1171,04092110463,100,2015-05-13T00:00:00.000Z,,Inspection
1172,04092110463,100,2015-09-21T00:00:00.000Z,,Inspection
1173,04092110463,100,2015-11-10T00:00:00.000Z,,Inspection
1174,04092110463,100,2016-03-22T00:00:00.000Z,,Inspection
1175,04092110463,100,2016-05-20T00:00:00.000Z,,Inspection
1176,04092110463,96.5,2016-10-13T00:00:00.000Z,,Inspection
1177,04092021474,96.5,2013-01-30T00:00:00.000Z,,Inspection
1178,04092021474,98,2013-05-17T00:00:00.000Z,Go to www.wakegov.com/food for updates and information.,Inspection
1179,04092021474,94,2013-08-12T00:00:00.000Z,"Go to www.wakegov.com/food for updates and information.
Follow-Up: 08/14/2013",Inspection
1180,04092015680,93.5,2013-01-11T00:00:00.000Z,,Inspection
1181,04092015680,85,2013-10-04T00:00:00.000Z,"Several violations today were addressed on the last inspection report. The last report is being provided again for additional guidance.  .   .  . 
COVER or seal bags and containers of dry foods such as Sugar, baking soda, salt & MSG.",Inspection
1182,04092015680,93.5,2013-10-24T00:00:00.000Z,"Oven used to cook pork (that I believe should be under the hood) is actively dripping red liquid to the outiside of the oven.   .    .    .  
I requested access to the locked store room, but it cannot be opened today.",Re-Inspection
1183,04092015528,94,2013-01-23T00:00:00.000Z,"Go to www.wakegov.com/food for important rule changes and updates.  The NC Food Code can also be accessed at http://ehs.ncpublichealth.com/index.htm
Follow-Up: 01/31/2013",Inspection
1184,04092015528,97,2013-05-28T00:00:00.000Z,"Go to www.wake gov.com/food for updates and information.

Several repairs and other corrections have been made since last inspection, good!
Try to get a handle on the dumpsters, enclosures, grease receptacles and unnecessary items outside.",Inspection
1185,04092021790,91.5,2014-07-02T00:00:00.000Z,Food Safety Manager Training is needed.,Inspection
1186,04092021790,85,2015-01-22T00:00:00.000Z,Outside Support is needed for this food handling establishment to be successful.,Inspection
1187,04092021790,92,2015-04-17T00:00:00.000Z,"Clean dishes, wares, utensils shall stay in sanitizer for at least one minute.",Inspection
1188,04092021790,90,2015-10-01T00:00:00.000Z,,Inspection
1189,04092021790,94,2016-03-03T00:00:00.000Z,Kimchi shall be purchased. No fermentation or special process is approved for this location,Inspection
1190,04092021790,96,2016-09-27T00:00:00.000Z,Follow-Up: 10/07/2016,Inspection
1191,04092017042,92,2015-12-08T00:00:00.000Z,,Inspection
1192,04092014640,98.5,2013-05-21T00:00:00.000Z,,Inspection
1193,04092014640,97,2013-10-31T00:00:00.000Z,,Inspection
1194,04092014640,97.5,2014-02-25T00:00:00.000Z,,Inspection
1195,04092014640,94.5,2014-05-27T00:00:00.000Z,,Inspection
1196,04092014640,99.5,2014-10-07T00:00:00.000Z,,Inspection
1197,04092014640,93.5,2015-03-09T00:00:00.000Z,Raw Chicken Walk-In Cooler is very clean.,Inspection
1198,04092014640,98,2015-12-29T00:00:00.000Z,,Inspection
1199,04092014842,97.5,2013-10-03T00:00:00.000Z,,Inspection
1200,04092014842,97.5,2014-04-02T00:00:00.000Z,,Inspection
1201,04092014842,94.5,2014-10-02T00:00:00.000Z,,Inspection
1202,04092014842,98.5,2015-04-20T00:00:00.000Z,,Inspection
1203,04092014842,95,2015-12-03T00:00:00.000Z,,Inspection
1204,04092014842,95,2016-05-27T00:00:00.000Z,,Inspection
1205,04092014860,95,2012-11-19T00:00:00.000Z,,Inspection
1206,04092014860,97.5,2013-04-24T00:00:00.000Z,,Inspection
1207,04092016755,93,2016-10-04T00:00:00.000Z,,Inspection
1208,04092021571,98.5,2013-04-15T00:00:00.000Z,Spray Bottle with Lubricant is stored with clean utensils. Store in designated location.,Inspection
1209,04092021571,100,2013-10-14T00:00:00.000Z,,Inspection
